Freq[Hz]        [dBSPL]         Phase[Deg]
10.00           94.92           135.02
10.04           94.78           137.65
10.08           94.65           140.30
10.12           94.52           142.98
10.17           94.39           145.66
10.21           94.26           148.36
10.25           94.14           151.06
10.29           94.01           153.78
10.33           93.72           159.10
10.38           93.43           164.47
10.42           93.14           169.86
10.46           92.85           175.26
10.50           92.57           -179.33
10.55           92.29           -173.93
10.59           92.01           -168.54
10.64           91.74           -163.20
10.68           91.48           -157.89
10.72           91.23           -152.65
10.77           90.99           -147.48
10.81           90.75           -142.40
10.86           90.53           -137.42
10.90           90.32           -132.56
10.95           90.12           -127.83
10.99           89.94           -123.25
11.04           89.77           -118.83
11.08           89.62           -114.60
11.13           89.48           -110.56
11.17           89.37           -106.73
11.22           89.27           -103.13
11.26           89.20           -99.79
11.31           89.16           -96.71
11.36           89.13           -93.92
11.40           89.14           -91.43
11.45           89.17           -89.26
11.50           89.24           -87.44
11.55           89.33           -85.96
11.59           89.46           -84.85
11.64           89.62           -84.11
11.69           89.81           -83.74
11.74           90.03           -83.75
11.78           90.29           -84.13
11.83           90.57           -84.88
11.88           90.89           -85.99
11.93           91.23           -87.46
11.98           91.59           -89.26
12.03           91.98           -91.38
12.08           92.39           -93.80
12.13           92.81           -96.49
12.18           93.25           -99.43
12.23           93.70           -102.59
12.28           94.16           -105.94
12.33           94.63           -109.44
12.38           95.10           -113.08
12.43           95.57           -116.82
12.48           96.04           -120.62
12.53           96.51           -124.45
12.58           96.96           -128.29
12.64           97.41           -132.09
12.69           97.85           -135.82
12.74           98.27           -139.45
12.79           98.67           -142.93
12.85           99.05           -146.24
12.90           99.41           -149.32
12.95           99.75           -152.16
13.00           100.06          -154.73
13.06           100.34          -156.99
13.11           100.60          -158.92
13.17           100.83          -160.52
13.22           101.03          -161.76
13.27           101.20          -162.64
13.33           101.35          -163.14
13.38           101.46          -163.28
13.44           101.55          -163.05
13.49           101.61          -162.46
13.55           101.64          -161.52
13.61           101.65          -160.25
