Freq[Hz]        [dBSPL]         Phase[Deg]
10.00           96.42           -176.78
10.04           96.44           -176.09
10.08           96.47           -175.44
10.12           96.50           -174.81
10.17           96.53           -174.20
10.21           96.57           -173.62
10.25           96.61           -173.07
10.29           96.66           -172.54
10.33           96.73           -171.34
10.38           96.82           -170.21
10.42           96.91           -169.14
10.46           97.02           -168.13
10.50           97.14           -167.17
10.55           97.27           -166.26
10.59           97.41           -165.39
10.64           97.56           -164.56
10.68           97.71           -163.75
10.72           97.88           -162.95
10.77           98.05           -162.17
10.81           98.23           -161.37
10.86           98.42           -160.57
10.90           98.61           -159.74
10.95           98.80           -158.88
10.99           99.00           -157.97
11.04           99.21           -157.01
11.08           99.41           -155.98
11.13           99.62           -154.87
11.17           99.83           -153.68
11.22           100.04          -152.38
11.26           100.25          -150.98
11.31           100.45          -149.44
11.36           100.66          -147.77
11.40           100.86          -145.95
11.45           101.06          -143.96
11.50           101.26          -141.80
11.55           101.45          -139.46
11.59           101.63          -136.94
11.64           101.81          -134.22
11.69           101.98          -131.31
11.74           102.15          -128.22
11.78           102.30          -124.95
11.83           102.45          -121.50
11.88           102.60          -117.89
11.93           102.73          -114.13
11.98           102.86          -110.24
12.03           102.97          -106.23
12.08           103.08          -102.14
12.13           103.18          -97.97
12.18           103.27          -93.77
12.23           103.35          -89.57
12.28           103.43          -85.38
12.33           103.49          -81.24
12.38           103.54          -77.19
12.43           103.59          -73.25
12.48           103.63          -69.46
12.53           103.65          -65.85
12.58           103.67          -62.45
12.64           103.68          -59.30
12.69           103.68          -56.44
12.74           103.67          -53.90
12.79           103.66          -51.71
12.85           103.63          -49.93
12.90           103.59          -48.57
12.95           103.54          -47.68
13.00           103.49          -47.28
13.06           103.42          -47.39
13.11           103.35          -48.03
13.17           103.27          -49.21
13.22           103.17          -50.94
13.27           103.07          -53.21
13.33           102.96          -56.03
13.38           102.85          -59.38
13.44           102.72          -63.25
13.49           102.59          -67.62
13.55           102.44          -72.46
13.61           102.30          -77.74
13.66           102.14          -83.42
13.72           101.98          -89.45
13.77           101.81          -95.80
13.83           101.63          -102.41
13.89           101.45          -109.25
13.94           101.27          -116.27
14.00           101.08          -123.41
14.06           100.89          -130.63
14.12           100.69          -137.89
14.18           100.49          -145.12
14.23           100.29          -152.27
14.29           100.09          -159.29
14.35           99.88           -166.14
14.41           99.68           -172.76
14.47           99.47           -179.13
14.53           99.26           174.80
14.59           99.06           169.05
14.65           98.86           163.64
14.71           98.66           158.59
14.77           98.46           153.91
14.83           98.27           149.60
14.89           98.08           145.65
14.95           97.90           142.06
15.01           97.72           138.81
15.08           97.55           135.88
15.14           97.38           133.23
15.20           97.23           130.83
15.26           97.08           128.64
15.33           96.94           126.62
15.39           96.82           124.73
15.45           96.70           122.93
15.52           96.60           121.17
15.58           96.51           119.41
15.64           96.43           117.60
15.71           96.37           115.70
15.77           96.32           113.66
15.84           96.29           111.45
15.90           96.28           109.02
15.97           96.28           106.35
16.03           96.30           103.40
16.10           96.34           100.15
16.17           96.40           96.58
16.23           96.46           92.67
16.30           96.55           88.40
16.37           96.64           83.78
16.43           96.74           78.79
16.50           96.86           73.44
16.57           96.97           67.73
16.64           97.10           61.67
16.70           97.22           55.28
16.77           97.34           48.57
16.84           97.45           41.56
16.91           97.56           34.27
16.98           97.66           26.72
17.05           97.75           18.91
17.12           97.82           10.89
17.19           97.88           2.65
17.26           97.91           -5.77
17.33           97.93           -14.34
17.40           97.93           -23.05
17.48           97.90           -31.86
17.55           97.85           -40.73
17.62           97.78           -49.63
17.69           97.69           -58.52
17.77           97.57           -67.36
17.84           97.43           -76.11
17.91           97.27           -84.72
17.99           97.08           -93.13
18.06           96.88           -101.30
18.13           96.66           -109.17
18.21           96.42           -116.67
18.28           96.16           -123.75
18.36           95.90           -130.34
18.43           95.63           -136.38
18.51           95.35           -141.80
18.59           95.08           -146.53
18.66           94.80           -150.52
18.74           94.53           -153.73
18.82           94.27           -156.13
18.89           94.02           -157.68
18.97           93.78           -158.39
19.05           93.56           -158.27
19.13           93.35           -157.33
19.21           93.16           -155.59
19.29           92.97           -153.12
19.37           92.80           -149.97
19.44           92.63           -146.21
19.52           92.47           -141.94
19.61           92.30           -137.25
19.69           92.13           -132.28
19.77           91.95           -127.14
19.85           91.75           -121.99
19.93           91.53           -116.97
20.01           91.29           -112.20
20.09           91.02           -107.84
20.18           90.72           -103.97
20.26           90.38           -100.71
20.34           90.01           -98.12
20.43           89.60           -96.26
20.51           89.14           -95.18
20.59           88.65           -94.88
20.68           88.11           -95.38
20.76           87.53           -96.64
20.85           86.90           -98.63
20.94           86.21           -101.28
21.02           85.48           -104.51
21.11           84.71           -108.21
21.20           83.90           -112.26
21.28           83.06           -116.49
21.37           82.20           -120.76
21.46           81.35           -124.90
21.55           80.51           -128.79
21.63           79.70           -132.29
21.72           78.94           -135.29
21.81           78.26           -137.72
21.90           77.67           -139.49
21.99           77.19           -140.56
22.08           76.82           -140.89
22.17           76.59           -140.47
22.27           76.47           -139.30
22.36           76.46           -137.40
22.45           76.55           -134.83
22.54           76.70           -131.65
22.63           76.89           -127.95
22.73           77.12           -123.84
22.82           77.34           -119.46
22.91           77.56           -114.92
23.01           77.75           -110.33
23.10           77.91           -105.80
23.20           78.03           -101.40
23.29           78.11           -97.20
23.39           78.15           -93.26
23.49           78.15           -89.60
23.58           78.10           -86.25
23.68           78.00           -83.21
23.78           77.86           -80.47
23.87           77.66           -77.99
23.97           77.40           -75.72
24.07           77.09           -73.60
24.17           76.72           -71.53
24.27           76.29           -69.41
24.37           75.81           -67.15
24.47           75.28           -64.64
24.57           74.70           -61.84
24.67           74.07           -58.68
24.77           73.41           -55.15
24.88           72.72           -51.22
24.98           72.00           -46.92
25.08           71.27           -42.27
25.18           70.53           -37.32
