Freq[Hz]        [dBSPL]         Phase[Deg]
28.48           74.46           -39.70
28.60           74.41           -28.71
28.72           74.32           -18.80
28.84           74.20           -10.32
28.96           74.04           -3.57
29.07           73.85           1.24
29.19           73.62           3.95
29.31           73.37           4.47
29.43           73.09           2.81
29.56           72.77           -0.96
29.68           72.44           -6.70
29.80           72.09           -14.17
29.92           71.71           -23.06
30.04           71.32           -32.99
30.17           70.92           -43.56
30.29           70.51           -54.33
30.42           70.09           -64.88
30.54           69.67           -74.81
30.67           69.24           -83.77
30.79           68.82           -91.49
30.92           68.39           -97.74
31.05           67.95           -102.35
31.18           67.51           -105.19
31.30           67.06           -106.22
31.43           66.60           -105.44
31.56           66.12           -102.93
31.69           65.62           -98.84
31.82           65.10           -93.38
31.95           64.54           -86.81
32.08           63.96           -79.43
32.22           63.33           -71.54
32.35           62.65           -63.43
32.48           61.93           -55.45
32.62           61.15           -47.91
32.75           60.32           -41.17
32.88           59.43           -35.57
33.02           58.48           -31.42
33.16           57.50           -28.94
33.29           56.50           -28.32
33.43           55.51           -29.65
33.57           54.58           -32.99
33.70           53.74           -38.29
33.84           53.03           -45.46
33.98           52.46           -54.31
34.12           52.03           -64.58
34.26           51.72           -75.94
34.40           51.50           -88.03
34.54           51.35           -100.48
34.69           51.23           -112.94
34.83           51.14           -125.05
34.97           51.05           -136.44
35.12           50.97           -146.84
35.26           50.88           -156.03
35.41           50.80           -163.89
35.55           50.74           -170.34
35.70           50.71           -175.40
35.84           50.75           -179.15
35.99           50.93           178.29
36.14           51.30           176.77
36.29           51.92           176.09
36.44           52.83           175.99
36.59           53.98           176.23
36.74           55.29           176.61
36.89           56.66           176.95
37.04           57.99           177.11
37.19           59.19           176.99
37.35           60.26           176.51
37.50           61.17           175.67
37.65           61.94           174.45
37.81           62.58           172.93
37.97           63.12           171.20
38.12           63.57           169.35
38.28           63.95           167.51
38.44           64.27           165.78
38.59           64.53           164.30
38.75           64.75           163.14
38.91           64.92           162.36
39.07           65.04           162.00
39.23           65.11           162.05
39.39           65.13           162.48
39.56           65.10           163.22
39.72           65.04           164.16
39.88           64.95           165.17
40.05           64.86           166.09
40.21           64.78           166.77
40.38           64.72           167.10
40.54           64.69           167.01
40.71           64.69           166.42
40.88           64.72           165.31
41.04           64.77           163.70
41.21           64.84           161.64
41.38           64.93           159.26
41.55           65.03           156.72
41.72           65.14           154.15
41.90           65.26           151.68
42.07           65.38           149.41
42.24           65.51           147.46
42.42           65.65           145.89
42.59           65.78           144.78
42.76           65.93           144.10
42.94           66.07           143.79
43.12           66.22           143.76
43.29           66.37           143.90
43.47           66.52           144.12
43.65           66.68           144.30
43.83           66.85           144.29
44.01           67.01           143.94
44.19           67.18           143.16
44.37           67.36           141.87
44.56           67.54           140.05
44.74           67.72           137.71
44.92           67.90           134.88
45.11           68.08           131.64
45.29           68.26           128.09
45.48           68.44           124.40
45.67           68.61           120.70
45.86           68.78           117.14
46.04           68.93           113.82
46.23           69.08           110.80
46.42           69.21           108.12
46.61           69.33           105.81
46.81           69.43           103.84
47.00           69.51           102.17
47.19           69.57           100.71
47.39           69.61           99.41
47.58           69.63           98.21
47.78           69.63           97.06
47.97           69.61           95.91
48.17           69.58           94.71
48.37           69.54           93.44
48.57           69.49           92.07
48.77           69.45           90.58
48.97           69.41           88.98
49.17           69.38           87.26
49.37           69.37           85.47
49.58           69.38           83.63
49.78           69.41           81.79
49.98           69.46           80.02
50.19           69.52           78.37
50.40           69.59           76.87
50.60           69.68           75.54
50.81           69.77           74.37
51.02           69.87           73.32
51.23           69.96           72.34
51.44           70.05           71.36
51.65           70.13           70.32
51.86           70.21           69.18
52.08           70.27           67.93
52.29           70.32           66.55
52.51           70.38           65.06
52.72           70.43           63.49
52.94           70.49           61.88
53.16           70.56           60.22
53.38           70.66           58.52
53.60           70.78           56.77
53.82           70.92           54.99
54.04           71.09           53.16
54.26           71.26           51.29
54.48           71.45           49.40
54.71           71.63           47.53
54.93           71.81           45.70
55.16           71.99           43.92
55.39           72.15           42.14
55.61           72.31           40.34
55.84           72.46           38.45
56.07           72.60           36.40
56.30           72.74           34.18
56.53           72.85           31.79
56.77           72.96           29.32
57.00           73.05           26.89
57.23           73.12           24.67
57.47           73.18           22.77
57.71           73.23           21.28
57.94           73.27           20.21
58.18           73.31           19.52
58.42           73.35           19.08
58.66           73.38           18.74
58.90           73.42           18.40
59.15           73.45           17.99
59.39           73.48           17.51
59.63           73.51           16.96
59.88           73.54           16.37
60.12           73.57           15.75
60.37           73.60           15.08
60.62           73.64           14.27
60.87           73.69           13.19
61.12           73.75           11.77
61.37           73.82           9.98
61.62           73.90           7.82
61.88           73.99           5.38
62.13           74.10           2.82
62.39           74.22           0.32
62.64           74.36           -1.99
62.90           74.50           -4.03
63.16           74.66           -5.77
63.42           74.82           -7.23
63.68           74.99           -8.50
63.94           75.15           -9.68
64.21           75.32           -10.84
64.47           75.48           -12.04
64.74           75.64           -13.34
65.00           75.79           -14.75
65.27           75.93           -16.28
65.54           76.08           -17.93
65.81           76.23           -19.70
66.08           76.38           -21.58
66.35           76.53           -23.59
66.62           76.69           -25.72
66.90           76.85           -27.99
67.17           77.02           -30.39
67.45           77.18           -32.94
67.73           77.35           -35.64
68.00           77.51           -38.49
68.28           77.69           -41.50
68.56           77.87           -44.66
68.85           78.06           -47.96
69.13           78.26           -51.39
69.41           78.44           -54.93
69.70           78.61           -58.58
69.99           78.74           -62.31
70.27           78.84           -66.12
70.56           78.90           -69.97
70.85           78.92           -73.86
71.14           78.90           -77.79
71.44           78.87           -81.73
71.73           78.82           -85.67
72.03           78.76           -89.60
72.32           78.68           -93.49
72.62           78.58           -97.32
72.92           78.47           -101.05
73.22           78.33           -104.68
73.52           78.17           -108.21
73.82           77.98           -111.67
74.13           77.78           -115.10
74.43           77.57           -118.54
74.74           77.36           -122.02
75.04           77.16           -125.52
75.35           76.97           -129.00
75.66           76.78           -132.40
75.97           76.58           -135.66
76.29           76.36           -138.74
76.60           76.12           -141.66
76.92           75.85           -144.47
77.23           75.54           -147.24
77.55           75.20           -150.02
77.87           74.83           -152.79
78.19           74.42           -155.51
78.51           73.99           -158.06
78.83           73.52           -160.32
79.16           73.04           -162.21
79.48           72.55           -163.70
79.81           72.06           -164.81
80.14           71.57           -165.65
80.47           71.09           -166.33
80.80           70.62           -166.98
81.13           70.17           -167.72
81.47           69.74           -168.64
81.80           69.32           -169.75
82.14           68.91           -170.96
82.47           68.51           -172.18
82.81           68.11           -173.25
83.15           67.71           -174.10
83.50           67.32           -174.75
83.84           66.96           -175.26
84.19           66.62           -175.74
84.53           66.32           -176.26
84.88           66.07           -176.83
85.23           65.86           -177.36
85.58           65.71           -177.75
85.93           65.59           -177.85
86.28           65.49           -177.57
86.64           65.39           -176.84
87.00           65.28           -175.69
87.35           65.16           -174.25
87.71           65.01           -172.76
88.07           64.87           -171.53
88.44           64.75           -170.85
88.80           64.68           -170.91
89.16           64.67           -171.69
89.53           64.71           -172.94
89.90           64.78           -174.28
90.27           64.85           -175.39
90.64           64.90           -176.15
91.01           64.94           -176.66
91.39           64.98           -177.15
91.76           65.03           -177.86
92.14           65.11           -178.94
92.52           65.23           179.54
92.90           65.37           177.59
93.28           65.52           175.33
93.67           65.66           172.96
94.05           65.78           170.80
94.44           65.86           169.14
94.83           65.90           168.04
95.22           65.89           167.36
95.61           65.86           166.75
96.00           65.81           165.83
96.40           65.77           164.34
96.79           65.75           162.18
97.19           65.73           159.37
97.59           65.73           156.11
97.99           65.72           152.67
98.40           65.70           149.48
98.80           65.67           146.85
99.21           65.63           144.85
99.62           65.58           143.25
100.03          65.50           141.55
100.44          65.40           139.35
100.85          65.29           136.49
101.26          65.19           133.11
101.68          65.10           129.44
102.10          65.02           125.71
102.52          64.95           122.09
102.94          64.84           118.70
103.36          64.69           115.58
103.79          64.51           112.63
104.22          64.30           109.53
104.65          64.12           105.93
105.08          63.99           101.64
105.51          63.90           96.84
105.94          63.85           91.96
106.38          63.83           87.46
106.82          63.81           83.51
107.25          63.81           79.97
