Freq[Hz]        [dBSPL]         Phase[Deg]
10.00           108.74          25.88
10.04           108.76          24.90
10.08           108.78          23.83
10.12           108.79          22.67
10.17           108.81          21.42
10.21           108.82          20.08
10.25           108.83          18.65
10.29           108.84          17.14
10.33           108.86          14.56
10.38           108.88          11.73
10.42           108.89          8.65
10.46           108.89          5.32
10.50           108.88          1.75
10.55           108.87          -2.06
10.59           108.85          -6.09
10.64           108.83          -10.35
10.68           108.79          -14.81
10.72           108.75          -19.46
10.77           108.70          -24.30
10.81           108.64          -29.32
10.86           108.57          -34.49
10.90           108.50          -39.81
10.95           108.41          -45.27
10.99           108.33          -50.84
11.04           108.23          -56.53
11.08           108.12          -62.32
11.13           108.01          -68.18
11.17           107.89          -74.11
11.22           107.76          -80.10
11.26           107.62          -86.12
11.31           107.47          -92.16
11.36           107.32          -98.20
11.40           107.16          -104.24
11.45           106.98          -110.25
11.50           106.81          -116.22
11.55           106.62          -122.12
11.59           106.42          -127.95
11.64           106.22          -133.70
11.69           106.01          -139.34
11.74           105.79          -144.87
11.78           105.57          -150.26
11.83           105.33          -155.52
11.88           105.09          -160.62
11.93           104.84          -165.56
11.98           104.59          -170.32
12.03           104.33          -174.90
12.08           104.06          -179.28
12.13           103.78          176.54
12.18           103.50          172.57
12.23           103.22          168.82
12.28           102.93          165.30
12.33           102.63          162.02
12.38           102.33          158.98
12.43           102.03          156.20
12.48           101.73          153.68
12.53           101.42          151.44
12.58           101.11          149.48
12.64           100.80          147.81
12.69           100.49          146.45
12.74           100.17          145.41
12.79           99.86           144.69
12.85           99.55           144.30
12.90           99.24           144.26
12.95           98.93           144.57
13.00           98.63           145.24
13.06           98.32           146.27
13.11           98.03           147.67
13.17           97.73           149.43
13.22           97.44           151.55
13.27           97.16           154.02
13.33           96.89           156.85
13.38           96.62           160.01
13.44           96.36           163.51
13.49           96.11           167.31
13.55           95.86           171.42
13.61           95.63           175.80
13.66           95.42           -179.56
13.72           95.21           -174.68
13.77           95.01           -169.59
13.83           94.83           -164.32
13.89           94.67           -158.88
13.94           94.52           -153.31
14.00           94.39           -147.63
14.06           94.27           -141.86
14.12           94.18           -136.03
14.18           94.10           -130.18
14.23           94.05           -124.32
14.29           94.02           -118.49
14.35           94.01           -112.72
14.41           94.03           -107.03
14.47           94.07           -101.43
14.53           94.13           -95.95
14.59           94.22           -90.59
14.65           94.34           -85.37
14.71           94.47           -80.29
14.77           94.63           -75.35
14.83           94.81           -70.55
14.89           95.01           -65.88
14.95           95.22           -61.33
15.01           95.45           -56.90
15.08           95.68           -52.55
15.14           95.93           -48.27
15.20           96.18           -44.03
15.26           96.43           -39.80
15.33           96.68           -35.55
15.39           96.93           -31.25
15.45           97.17           -26.87
15.52           97.40           -22.38
15.58           97.62           -17.74
15.64           97.83           -12.93
15.71           98.02           -7.91
15.77           98.18           -2.65
15.84           98.33           2.87
15.90           98.45           8.66
15.97           98.55           14.74
16.03           98.63           21.11
16.10           98.68           27.75
16.17           98.71           34.66
16.23           98.71           41.80
16.30           98.69           49.16
16.37           98.64           56.70
16.43           98.57           64.36
16.50           98.48           72.10
16.57           98.37           79.84
16.64           98.24           87.52
16.70           98.09           95.05
16.77           97.92           102.35
16.84           97.75           109.33
16.91           97.57           115.90
16.98           97.38           121.97
17.05           97.19           127.44
17.12           97.00           132.22
17.19           96.82           136.22
17.26           96.65           139.36
17.33           96.50           141.57
17.40           96.36           142.81
17.48           96.24           143.03
17.55           96.15           142.22
17.62           96.08           140.36
17.69           96.03           137.46
17.77           96.01           133.53
17.84           96.01           128.62
17.91           96.03           122.78
17.99           96.08           116.07
18.06           96.13           108.58
18.13           96.21           100.40
18.21           96.29           91.66
18.28           96.37           82.49
18.36           96.45           73.01
18.43           96.54           63.36
18.51           96.61           53.68
18.59           96.67           44.10
18.66           96.72           34.76
18.74           96.74           25.76
18.82           96.75           17.20
18.89           96.74           9.17
18.97           96.70           1.74
19.05           96.64           -5.03
19.13           96.55           -11.10
19.21           96.43           -16.46
19.29           96.28           -21.09
19.37           96.10           -24.99
19.44           95.88           -28.19
19.52           95.64           -30.74
19.61           95.36           -32.70
19.69           95.05           -34.13
19.77           94.70           -35.14
19.85           94.32           -35.82
19.93           93.91           -36.28
20.01           93.47           -36.60
20.09           92.99           -36.88
20.18           92.48           -37.22
20.26           91.94           -37.66
