Freq[Hz]        [dBSPL]         Phase[Deg]
28.72           76.30           -44.18
28.84           75.92           -42.07
28.96           75.52           -41.09
29.07           75.12           -41.24
29.19           74.75           -42.51
29.31           74.40           -44.86
29.43           74.10           -48.20
29.56           73.84           -52.42
29.68           73.63           -57.37
29.80           73.45           -62.86
29.92           73.28           -68.68
30.04           73.13           -74.58
30.17           72.97           -80.35
30.29           72.79           -85.76
30.42           72.59           -90.64
30.54           72.36           -94.87
30.67           72.09           -98.36
30.79           71.78           -101.10
30.92           71.42           -103.10
31.05           71.01           -104.47
31.18           70.54           -105.36
31.30           70.00           -105.96
31.43           69.38           -106.53
31.56           68.70           -107.35
31.69           67.94           -108.66
31.82           67.13           -110.69
31.95           66.29           -113.64
32.08           65.47           -117.65
32.22           64.69           -122.77
32.35           63.99           -129.00
32.48           63.41           -136.24
32.62           62.98           -144.33
32.75           62.70           -153.01
32.88           62.56           -161.96
33.02           62.55           -170.85
33.16           62.64           -179.32
33.29           62.79           172.99
33.43           62.98           166.45
33.57           63.19           161.38
33.70           63.38           158.05
33.84           63.54           156.63
33.98           63.67           157.26
34.12           63.75           159.99
34.26           63.78           164.81
34.40           63.75           171.64
34.54           63.66           -179.70
34.69           63.52           -169.45
34.83           63.32           -157.91
34.97           63.07           -145.48
35.12           62.76           -132.55
35.26           62.39           -119.55
35.41           61.95           -106.89
35.55           61.45           -95.01
35.70           60.88           -84.35
35.84           60.26           -75.31
35.99           59.63           -68.19
36.14           59.03           -63.24
36.29           58.59           -60.61
36.44           58.41           -60.37
36.59           58.60           -62.52
36.74           59.17           -66.95
36.89           60.01           -73.49
37.04           60.99           -81.84
37.19           61.96           -91.66
37.35           62.86           -102.58
37.50           63.65           -114.25
37.65           64.33           -126.26
37.81           64.90           -138.23
37.97           65.38           -149.75
38.12           65.76           -160.49
38.28           66.08           -170.17
38.44           66.33           -178.59
38.59           66.53           174.35
38.75           66.68           168.71
38.91           66.78           164.49
39.07           66.81           161.60
39.23           66.78           159.93
39.39           66.69           159.27
39.56           66.53           159.39
39.72           66.33           160.07
39.88           66.10           161.10
40.05           65.85           162.30
40.21           65.60           163.51
40.38           65.38           164.61
40.54           65.20           165.50
40.71           65.06           166.12
40.88           64.98           166.42
41.04           64.94           166.41
41.21           64.95           166.08
41.38           64.99           165.45
41.55           65.06           164.53
41.72           65.15           163.34
41.90           65.25           161.90
42.07           65.37           160.23
42.24           65.50           158.37
42.42           65.64           156.34
42.59           65.80           154.17
42.76           65.97           151.89
