Freq[Hz]        [dBSPL]         Phase[Deg]
10.00           107.14          -170.30
10.04           107.11          -172.00
10.08           107.09          -173.82
10.12           107.07          -175.75
10.17           107.05          -177.80
10.21           107.03          -179.95
10.25           107.01          177.79
10.29           107.00          175.44
10.33           106.96          171.31
10.38           106.92          166.88
10.42           106.90          162.16
10.46           106.87          157.17
10.50           106.85          151.92
10.55           106.84          146.43
10.59           106.83          140.74
10.64           106.82          134.85
10.68           106.82          128.80
10.72           106.81          122.63
10.77           106.81          116.35
10.81           106.81          110.00
10.86           106.80          103.60
10.90           106.80          97.20
10.95           106.79          90.82
10.99           106.78          84.49
11.04           106.77          78.26
11.08           106.75          72.14
11.13           106.73          66.19
11.17           106.70          60.43
11.22           106.67          54.90
11.26           106.62          49.64
11.31           106.57          44.69
11.36           106.51          40.10
11.40           106.43          35.89
11.45           106.35          32.11
11.50           106.25          28.79
11.55           106.14          25.98
11.59           106.02          23.68
11.64           105.89          21.94
11.69           105.74          20.75
11.74           105.57          20.15
11.78           105.39          20.13
11.83           105.20          20.70
11.88           104.99          21.86
11.93           104.77          23.61
11.98           104.53          25.92
12.03           104.28          28.78
12.08           104.02          32.17
12.13           103.74          36.07
12.18           103.45          40.43
12.23           103.15          45.22
12.28           102.85          50.41
12.33           102.53          55.97
12.38           102.20          61.85
12.43           101.87          68.02
12.48           101.54          74.44
12.53           101.20          81.07
12.58           100.86          87.87
12.64           100.51          94.80
12.69           100.17          101.81
12.74           99.83           108.87
12.79           99.49           115.92
12.85           99.16           122.92
12.90           98.84           129.83
12.95           98.52           136.61
13.00           98.21           143.21
13.06           97.92           149.61
13.11           97.63           155.78
13.17           97.36           161.69
13.22           97.11           167.31
13.27           96.87           172.63
13.33           96.64           177.64
13.38           96.44           -177.67
13.44           96.25           -173.32
13.49           96.07           -169.29
13.55           95.91           -165.59
13.61           95.77           -162.21
13.66           95.64           -159.13
13.72           95.52           -156.35
13.77           95.41           -153.83
13.83           95.31           -151.58
13.89           95.23           -149.56
13.94           95.15           -147.77
14.00           95.08           -146.19
14.06           95.01           -144.80
14.12           94.95           -143.57
14.18           94.89           -142.50
14.23           94.83           -141.56
14.29           94.77           -140.74
14.35           94.71           -140.01
14.41           94.65           -139.35
14.47           94.59           -138.75
14.53           94.53           -138.19
14.59           94.46           -137.65
14.65           94.39           -137.12
14.71           94.31           -136.57
14.77           94.23           -136.00
14.83           94.14           -135.38
14.89           94.05           -134.72
14.95           93.96           -133.98
15.01           93.87           -133.16
15.08           93.77           -132.25
15.14           93.67           -131.23
15.20           93.57           -130.10
15.26           93.48           -128.84
15.33           93.39           -127.45
15.39           93.30           -125.90
15.45           93.23           -124.20
15.52           93.16           -122.32
15.58           93.10           -120.26
15.64           93.05           -118.01
15.71           93.02           -115.55
15.77           93.00           -112.86
15.84           93.01           -109.96
15.90           93.03           -106.83
15.97           93.07           -103.48
16.03           93.14           -99.92
16.10           93.22           -96.16
16.17           93.33           -92.21
16.23           93.46           -88.09
16.30           93.62           -83.84
16.37           93.79           -79.49
16.43           93.98           -75.06
16.50           94.19           -70.61
16.57           94.41           -66.18
16.64           94.64           -61.81
16.70           94.88           -57.58
16.77           95.14           -53.53
16.84           95.39           -49.74
16.91           95.65           -46.25
16.98           95.91           -43.15
17.05           96.16           -40.49
17.12           96.41           -38.35
