Freq[Hz]        [dBSPL]         Phase[Deg]
10.00           112.87          142.57
10.04           112.83          144.97
10.08           112.79          147.39
10.12           112.74          149.84
10.17           112.68          152.32
10.21           112.61          154.81
10.25           112.54          157.33
10.29           112.46          159.87
10.33           112.34          164.81
10.38           112.20          169.82
10.42           112.03          174.88
10.46           111.84          180.00
10.50           111.63          -174.84
10.55           111.40          -169.64
10.59           111.14          -164.42
10.64           110.86          -159.17
10.68           110.57          -153.92
10.72           110.26          -148.66
10.77           109.93          -143.42
10.81           109.59          -138.20
10.86           109.24          -133.02
10.90           108.89          -127.87
10.95           108.52          -122.79
10.99           108.16          -117.77
11.04           107.79          -112.83
11.08           107.43          -107.98
11.13           107.07          -103.24
11.17           106.71          -98.62
11.22           106.37          -94.12
11.26           106.05          -89.77
11.31           105.74          -85.58
11.36           105.46          -81.55
11.40           105.20          -77.72
11.45           104.97          -74.08
11.50           104.78          -70.66
11.55           104.63          -67.47
11.59           104.53          -64.51
11.64           104.46          -61.80
11.69           104.45          -59.35
11.74           104.47          -57.16
11.78           104.55          -55.25
11.83           104.67          -53.61
11.88           104.83          -52.26
11.93           105.02          -51.19
11.98           105.25          -50.42
12.03           105.50          -49.93
12.08           105.77          -49.73
12.13           106.05          -49.82
12.18           106.33          -50.20
12.23           106.62          -50.86
12.28           106.90          -51.80
12.33           107.16          -53.02
12.38           107.41          -54.51
12.43           107.64          -56.28
12.48           107.84          -58.31
12.53           108.00          -60.61
12.58           108.13          -63.17
12.64           108.23          -65.99
12.69           108.27          -69.06
12.74           108.28          -72.39
12.79           108.23          -75.96
12.85           108.13          -79.78
12.90           107.98          -83.83
12.95           107.78          -88.11
13.00           107.52          -92.62
13.06           107.21          -97.33
13.11           106.83          -102.25
13.17           106.40          -107.36
13.22           105.90          -112.64
13.27           105.32          -118.08
13.33           104.68          -123.65
13.38           103.96          -129.34
13.44           103.15          -135.13
13.49           102.26          -140.98
13.55           101.28          -146.89
13.61           100.21          -152.81
13.66           99.06           -158.71
13.72           97.82           -164.57
13.77           96.52           -170.36
13.83           95.15           -176.03
13.89           93.73           178.44
13.94           92.27           173.09
14.00           90.77           167.95
14.06           89.25           163.06
14.12           87.72           158.46
14.18           86.21           154.19
14.23           84.71           150.27
14.29           83.26           146.77
14.35           81.89           143.69
14.41           80.61           141.09
14.47           79.46           138.98
14.53           78.49           137.37
14.59           77.74           136.30
14.65           77.25           135.76
14.71           77.05           135.75
14.77           77.16           136.27
14.83           77.56           137.32
14.89           78.21           138.88
14.95           79.09           140.92
15.01           80.13           143.43
15.08           81.30           146.35
15.14           82.57           149.66
15.20           83.91           153.30
15.26           85.27           157.23
15.33           86.65           161.39
15.39           88.03           165.73
15.45           89.37           170.20
15.52           90.67           174.74
15.58           91.90           179.30
15.64           93.06           -176.18
15.71           94.13           -171.77
15.77           95.10           -167.50
15.84           95.98           -163.44
15.90           96.75           -159.62
15.97           97.43           -156.08
16.03           98.03           -152.84
16.10           98.54           -149.93
16.17           98.97           -147.34
16.23           99.33           -145.10
16.30           99.62           -143.18
16.37           99.84           -141.58
16.43           100.00          -140.28
16.50           100.10          -139.25
16.57           100.14          -138.45
16.64           100.11          -137.82
16.70           100.02          -137.32
16.77           99.86           -136.89
