Freq[Hz]        [dBSPL]         Phase[Deg]
10.00           103.22          55.67
10.04           103.09          57.64
10.08           102.96          59.69
10.12           102.83          61.82
10.17           102.70          64.02
10.21           102.56          66.29
10.25           102.43          68.63
10.29           102.30          71.02
10.33           102.00          75.44
10.38           101.70          80.05
10.42           101.39          84.84
10.46           101.06          89.81
10.50           100.73          94.94
10.55           100.39          100.21
10.59           100.04          105.61
10.64           99.68           111.12
10.68           99.32           116.71
10.72           98.96           122.36
10.77           98.59           128.07
10.81           98.21           133.79
10.86           97.84           139.51
10.90           97.47           145.20
10.95           97.09           150.85
10.99           96.72           156.42
11.04           96.36           161.90
11.08           96.00           167.25
11.13           95.64           172.45
11.17           95.30           177.47
11.22           94.96           -177.71
11.26           94.64           -173.13
11.31           94.33           -168.80
11.36           94.03           -164.77
11.40           93.76           -161.06
11.45           93.50           -157.70
11.50           93.26           -154.72
11.55           93.05           -152.14
11.59           92.86           -149.98
11.64           92.70           -148.27
11.69           92.57           -147.02
11.74           92.46           -146.24
11.78           92.39           -145.94
11.83           92.34           -146.13
11.88           92.33           -146.81
11.93           92.34           -147.99
11.98           92.39           -149.66
12.03           92.46           -151.80
12.08           92.56           -154.43
12.13           92.68           -157.51
12.18           92.83           -161.04
12.23           93.00           -164.99
12.28           93.19           -169.36
12.33           93.39           -174.12
12.38           93.62           -179.25
12.43           93.86           175.26
12.48           94.11           169.43
12.53           94.38           163.29
12.58           94.65           156.85
12.64           94.93           150.13
12.69           95.22           143.15
12.74           95.52           135.95
12.79           95.81           128.53
12.85           96.11           120.92
12.90           96.40           113.15
12.95           96.70           105.24
13.00           96.98           97.21
13.06           97.27           89.08
13.11           97.54           80.87
13.17           97.81           72.61
13.22           98.06           64.32
13.27           98.31           56.01
13.33           98.54           47.70
13.38           98.76           39.42
13.44           98.97           31.19
13.49           99.16           23.02
13.55           99.34           14.92
13.61           99.50           6.93
13.66           99.64           -0.95
13.72           99.76           -8.70
13.77           99.86           -16.30
13.83           99.94           -23.73
13.89           100.00          -30.98
13.94           100.04          -38.02
14.00           100.06          -44.85
14.06           100.05          -51.43
14.12           100.02          -57.75
14.18           99.96           -63.79
14.23           99.88           -69.53
14.29           99.76           -74.94
14.35           99.63           -80.01
14.41           99.46           -84.73
14.47           99.26           -89.07
14.53           99.04           -93.03
14.59           98.78           -96.60
14.65           98.50           -99.76
14.71           98.19           -102.53
14.77           97.85           -104.88
14.83           97.49           -106.83
14.89           97.10           -108.39
14.95           96.68           -109.55
15.01           96.23           -110.33
15.08           95.77           -110.73
15.14           95.29           -110.79
15.20           94.79           -110.51
15.26           94.28           -109.92
15.33           93.77           -109.03
15.39           93.25           -107.88
15.45           92.75           -106.47
15.52           92.25           -104.83
15.58           91.76           -102.99
15.64           91.31           -100.96
15.71           90.88           -98.78
15.77           90.50           -96.46
15.84           90.16           -94.04
15.90           89.89           -91.54
15.97           89.68           -88.98
16.03           89.54           -86.39
16.10           89.47           -83.81
16.17           89.49           -81.27
16.23           89.58           -78.78
16.30           89.75           -76.40
16.37           90.00           -74.14
16.43           90.31           -72.04
16.50           90.68           -70.13
16.57           91.09           -68.46
16.64           91.56           -67.06
16.70           92.05           -65.96
16.77           92.56           -65.20
16.84           93.09           -64.82
16.91           93.62           -64.87
16.98           94.15           -65.38
17.05           94.67           -66.39
17.12           95.18           -67.95
17.19           95.66           -70.10
17.26           96.11           -72.86
17.33           96.53           -76.25
17.40           96.92           -80.30
17.48           97.27           -84.99
17.55           97.58           -90.32
17.62           97.86           -96.27
17.69           98.09           -102.82
17.77           98.28           -109.92
17.84           98.42           -117.54
17.91           98.52           -125.60
17.99           98.58           -134.04
