Freq[Hz]        [dBSPL]         Phase[Deg]
10.00           104.88          -138.13
10.04           104.87          -138.68
10.08           104.86          -139.31
10.12           104.86          -140.03
10.17           104.87          -140.83
10.21           104.88          -141.71
10.25           104.89          -142.68
10.29           104.91          -143.73
10.33           104.92          -145.41
10.38           104.94          -147.34
10.42           104.98          -149.49
10.46           105.03          -151.88
10.50           105.09          -154.51
10.55           105.16          -157.36
10.59           105.24          -160.44
10.64           105.32          -163.74
10.68           105.42          -167.25
10.72           105.52          -170.96
10.77           105.63          -174.86
10.81           105.74          -178.95
10.86           105.85          176.79
10.90           105.96          172.36
10.95           106.08          167.77
10.99           106.19          163.04
11.04           106.30          158.16
11.08           106.41          153.16
11.13           106.52          148.05
11.17           106.61          142.82
11.22           106.71          137.50
11.26           106.79          132.10
11.31           106.86          126.62
11.36           106.93          121.08
11.40           106.98          115.50
11.45           107.02          109.88
11.50           107.04          104.23
11.55           107.05          98.57
11.59           107.04          92.92
11.64           107.02          87.28
11.69           106.98          81.66
11.74           106.92          76.09
11.78           106.84          70.57
11.83           106.74          65.12
11.88           106.62          59.76
11.93           106.48          54.48
11.98           106.33          49.32
12.03           106.15          44.28
12.08           105.95          39.38
12.13           105.73          34.63
12.18           105.49          30.04
12.23           105.22          25.64
12.28           104.94          21.44
12.33           104.64          17.44
12.38           104.32          13.68
12.43           103.98          10.16
12.48           103.62          6.90
12.53           103.24          3.92
12.58           102.84          1.23
12.64           102.43          -1.14
12.69           101.99          -3.18
12.74           101.54          -4.87
12.79           101.07          -6.19
12.85           100.58          -7.13
12.90           100.07          -7.66
12.95           99.55           -7.77
13.00           99.01           -7.44
13.06           98.45           -6.67
13.11           97.88           -5.46
13.17           97.30           -3.80
13.22           96.70           -1.68
13.27           96.08           0.88
13.33           95.46           3.88
13.38           94.82           7.31
13.44           94.17           11.16
13.49           93.51           15.41
13.55           92.85           20.04
13.61           92.18           25.02
13.66           91.51           30.33
13.72           90.83           35.93
13.77           90.16           41.80
13.83           89.49           47.90
13.89           88.83           54.20
13.94           88.18           60.68
14.00           87.54           67.28
14.06           86.92           73.98
14.12           86.32           80.74
14.18           85.74           87.53
14.23           85.19           94.30
14.29           84.68           101.03
14.35           84.20           107.66
14.41           83.76           114.18
14.47           83.36           120.56
14.53           83.02           126.78
14.59           82.73           132.81
14.65           82.49           138.64
14.71           82.31           144.28
14.77           82.19           149.71
14.83           82.12           154.93
14.89           82.12           159.96
14.95           82.17           164.80
15.01           82.27           169.48
15.08           82.41           174.01
15.14           82.60           178.43
15.20           82.84           -177.23
15.26           83.10           -172.94
15.33           83.40           -168.65
15.39           83.72           -164.34
15.45           84.06           -159.96
15.52           84.42           -155.48
15.58           84.79           -150.85
15.64           85.17           -146.03
15.71           85.55           -140.99
15.77           85.93           -135.68
15.84           86.31           -130.08
15.90           86.68           -124.16
15.97           87.05           -117.91
16.03           87.40           -111.32
16.10           87.74           -104.40
16.17           88.08           -97.15
16.23           88.39           -89.59
16.30           88.70           -81.74
16.37           88.99           -73.65
16.43           89.26           -65.36
16.50           89.52           -56.92
16.57           89.76           -48.39
16.64           89.99           -39.84
16.70           90.20           -31.36
16.77           90.40           -23.04
16.84           90.59           -14.96
16.91           90.75           -7.21
16.98           90.91           0.11
17.05           91.05           6.91
17.12           91.18           13.09
17.19           91.30           18.57
17.26           91.40           23.25
17.33           91.49           27.08
17.40           91.58           29.99
17.48           91.65           31.94
17.55           91.71           32.90
17.62           91.76           32.85
17.69           91.81           31.78
17.77           91.85           29.70
17.84           91.88           26.63
17.91           91.91           22.61
17.99           91.94           17.69
18.06           91.96           11.92
18.13           91.99           5.40
18.21           92.01           -1.79
18.28           92.04           -9.53
18.36           92.08           -17.74
18.43           92.12           -26.28
18.51           92.17           -35.06
18.59           92.24           -43.96
18.66           92.31           -52.88
18.74           92.40           -61.70
18.82           92.50           -70.34
18.89           92.61           -78.71
18.97           92.73           -86.73
19.05           92.84           -94.32
19.13           92.95           -101.41
19.21           93.05           -107.95
19.29           93.13           -113.88
19.37           93.19           -119.16
19.44           93.21           -123.74
19.52           93.20           -127.62
19.61           93.15           -130.75
19.69           93.05           -133.14
19.77           92.90           -134.77
19.85           92.70           -135.65
19.93           92.45           -135.77
20.01           92.13           -135.13
20.09           91.75           -133.73
20.18           91.31           -131.58
20.26           90.80           -128.70
20.34           90.20           -125.12
20.43           89.52           -120.85
20.51           88.75           -115.95
20.59           87.87           -110.45
20.68           86.87           -104.40
20.76           85.74           -97.87
20.85           84.47           -90.92
20.94           83.04           -83.63
21.02           81.46           -76.08
21.11           79.71           -68.37
21.20           77.80           -60.58
21.28           75.76           -52.84
21.37           73.61           -45.26
21.46           71.40           -37.93
21.55           69.17           -30.98
21.63           66.98           -24.49
21.72           64.91           -18.56
21.81           63.10           -13.27
21.90           61.74           -8.69
21.99           61.03           -4.89
22.08           61.06           -1.93
22.17           61.73           0.16
22.27           62.80           1.32
22.36           64.04           1.52
22.45           65.31           0.75
22.54           66.49           -1.00
22.63           67.51           -3.74
22.73           68.33           -7.46
22.82           68.95           -12.14
22.91           69.37           -17.75
23.01           69.64           -24.27
23.10           69.79           -31.65
23.20           69.86           -39.82
23.29           69.86           -48.71
23.39           69.82           -58.23
23.49           69.72           -68.29
23.58           69.56           -78.76
23.68           69.31           -89.52
23.78           68.94           -100.43
23.87           68.41           -111.32
23.97           67.66           -122.02
24.07           66.65           -132.35
