Freq[Hz]        [dBSPL]         Phase[Deg]
10.00           110.71          164.11
10.04           110.68          162.29
10.08           110.64          160.53
10.12           110.60          158.84
10.17           110.55          157.21
10.21           110.50          155.66
10.25           110.44          154.17
10.29           110.38          152.75
10.33           110.28          149.59
10.38           110.17          146.61
10.42           110.04          143.84
10.46           109.89          141.26
10.50           109.73          138.88
10.55           109.55          136.71
10.59           109.36          134.74
10.64           109.16          132.97
10.68           108.94          131.39
10.72           108.71          130.02
10.77           108.47          128.84
10.81           108.22          127.86
10.86           107.97          127.07
10.90           107.70          126.48
10.95           107.43          126.07
10.99           107.15          125.85
11.04           106.87          125.81
11.08           106.58          125.96
11.13           106.29          126.29
11.17           106.01          126.80
11.22           105.72          127.48
11.26           105.44          128.33
11.31           105.16          129.36
11.36           104.89          130.55
11.40           104.62          131.91
11.45           104.37          133.43
11.50           104.12          135.11
11.55           103.89          136.94
11.59           103.67          138.91
11.64           103.47          141.03
11.69           103.29          143.27
11.74           103.12          145.63
11.78           102.97          148.11
11.83           102.84          150.68
11.88           102.73          153.33
11.93           102.63          156.06
11.98           102.55          158.84
12.03           102.49          161.66
12.08           102.45          164.49
12.13           102.42          167.33
12.18           102.40          170.15
12.23           102.39          172.93
12.28           102.39          175.65
12.33           102.39          178.28
12.38           102.40          -179.20
12.43           102.42          -176.81
12.48           102.44          -174.57
12.53           102.45          -172.50
12.58           102.47          -170.64
12.64           102.48          -169.01
12.69           102.49          -167.63
12.74           102.49          -166.54
12.79           102.48          -165.75
12.85           102.46          -165.29
12.90           102.43          -165.20
12.95           102.38          -165.49
13.00           102.32          -166.18
13.06           102.25          -167.30
13.11           102.16          -168.85
13.17           102.05          -170.85
13.22           101.92          -173.30
13.27           101.78          -176.21
13.33           101.62          -179.58
13.38           101.44          176.60
13.44           101.24          172.33
13.49           101.03          167.62
13.55           100.79          162.48
13.61           100.54          156.94
13.66           100.28          151.02
13.72           100.00          144.73
13.77           99.71           138.11
13.83           99.42           131.18
13.89           99.11           123.96
13.94           98.79           116.48
14.00           98.47           108.78
14.06           98.15           100.87
14.12           97.83           92.79
14.18           97.50           84.56
14.23           97.18           76.22
14.29           96.87           67.79
14.35           96.57           59.31
14.41           96.27           50.81
14.47           95.99           42.32
14.53           95.73           33.86
14.59           95.48           25.46
14.65           95.25           17.16
14.71           95.04           8.97
14.77           94.85           0.93
14.83           94.68           -6.94
14.89           94.53           -14.61
14.95           94.40           -22.07
15.01           94.30           -29.28
15.08           94.21           -36.22
15.14           94.14           -42.87
15.20           94.09           -49.21
15.26           94.05           -55.22
15.33           94.02           -60.88
15.39           94.01           -66.15
15.45           94.00           -71.03
15.52           94.00           -75.48
15.58           94.00           -79.48
15.64           94.01           -83.00
15.71           94.02           -86.03
15.77           94.03           -88.53
15.84           94.03           -90.50
15.90           94.03           -91.93
15.97           94.03           -92.81
16.03           94.02           -93.14
16.10           94.00           -92.95
16.17           93.98           -92.25
16.23           93.95           -91.05
16.30           93.91           -89.41
16.37           93.87           -87.35
16.43           93.82           -84.91
16.50           93.77           -82.17
16.57           93.71           -79.17
16.64           93.65           -76.00
16.70           93.58           -72.72
16.77           93.52           -69.43
16.84           93.45           -66.20
16.91           93.39           -63.13
16.98           93.33           -60.30
17.05           93.28           -57.80
17.12           93.24           -55.73
17.19           93.21           -54.17
17.26           93.19           -53.20
17.33           93.19           -52.88
17.40           93.20           -53.26
17.48           93.23           -54.37
17.55           93.27           -56.24
17.62           93.33           -58.87
17.69           93.40           -62.26
17.77           93.48           -66.37
17.84           93.58           -71.19
17.91           93.68           -76.64
17.99           93.79           -82.67
18.06           93.90           -89.18
18.13           94.01           -96.08
18.21           94.12           -103.25
18.28           94.22           -110.55
18.36           94.32           -117.86
18.43           94.40           -125.04
18.51           94.46           -131.95
18.59           94.50           -138.45
18.66           94.52           -144.43
18.74           94.51           -149.77
18.82           94.49           -154.39
18.89           94.43           -158.22
18.97           94.34           -161.21
19.05           94.23           -163.33
19.13           94.09           -164.56
19.21           93.92           -164.92
19.29           93.72           -164.44
19.37           93.48           -163.16
19.44           93.22           -161.17
19.52           92.93           -158.55
19.61           92.61           -155.42
19.69           92.27           -151.94
19.77           91.90           -148.25
19.85           91.52           -144.53
19.93           91.12           -140.96
20.01           90.70           -137.69
20.09           90.28           -134.89
20.18           89.85           -132.70
20.26           89.43           -131.21
20.34           89.00           -130.52
20.43           88.58           -130.69
20.51           88.17           -131.75
20.59           87.77           -133.72
20.68           87.38           -136.59
20.76           87.00           -140.30
20.85           86.63           -144.81
20.94           86.27           -150.00
21.02           85.92           -155.77
21.11           85.56           -161.94
21.20           85.20           -168.35
21.28           84.84           -174.79
21.37           84.46           178.97
21.46           84.07           173.14
21.55           83.65           167.91
21.63           83.21           163.44
21.72           82.74           159.88
21.81           82.24           157.32
21.90           81.70           155.85
21.99           81.13           155.53
22.08           80.52           156.38
22.17           79.87           158.38
22.27           79.18           161.50
22.36           78.44           165.66
22.45           77.66           170.77
22.54           76.84           176.68
22.63           75.98           -176.78
22.73           75.09           -169.81
22.82           74.19           -162.66
22.91           73.29           -155.55
23.01           72.42           -148.68
23.10           71.58           -142.23
23.20           70.82           -136.34
23.29           70.14           -131.14
23.39           69.57           -126.72
23.49           69.14           -123.14
23.58           68.85           -120.43
23.68           68.71           -118.61
23.78           68.70           -117.64
23.87           68.81           -117.45
23.97           69.03           -117.96
24.07           69.32           -119.04
24.17           69.66           -120.52
24.27           70.02           -122.21
24.37           70.38           -123.91
24.47           70.74           -125.46
24.57           71.07           -126.69
24.67           71.38           -127.49
24.77           71.66           -127.76
24.88           71.92           -127.42
24.98           72.13           -126.43
25.08           72.32           -124.77
25.18           72.48           -122.46
25.29           72.60           -119.53
25.39           72.69           -116.06
25.50           72.75           -112.14
25.60           72.79           -107.90
25.71           72.80           -103.51
25.81           72.79           -99.14
25.92           72.77           -94.93
26.02           72.74           -91.02
26.13           72.71           -87.51
26.24           72.69           -84.46
26.35           72.68           -81.92
26.45           72.69           -79.90
26.56           72.72           -78.38
26.67           72.78           -77.31
26.78           72.88           -76.62
26.89           73.00           -76.18
27.00           73.17           -75.85
27.11           73.38           -75.45
27.23           73.63           -74.80
27.34           73.91           -73.70
27.45           74.23           -72.00
27.56           74.58           -69.58
27.68           74.95           -66.37
27.79           75.34           -62.31
27.90           75.73           -57.41
28.02           76.12           -51.70
28.14           76.50           -45.26
28.25           76.85           -38.21
28.37           77.17           -30.72
28.48           77.45           -22.98
28.60           77.69           -15.26
28.72           77.88           -7.80
28.84           78.01           -0.87
28.96           78.09           5.30
29.07           78.12           10.48
29.19           78.09           14.50
29.31           78.00           17.23
29.43           77.86           18.55
29.56           77.66           18.40
29.68           77.40           16.74
29.80           77.07           13.59
29.92           76.67           8.99
30.04           76.20           3.03
30.17           75.65           -4.15
30.29           75.03           -12.39
30.42           74.33           -21.47
30.54           73.56           -31.18
30.67           72.72           -41.29
30.79           71.81           -51.59
30.92           70.85           -61.84
31.05           69.83           -71.80
31.18           68.78           -81.24
31.30           67.70           -89.90
31.43           66.61           -97.53
31.56           65.55           -103.94
31.69           64.53           -108.96
31.82           63.62           -112.49
31.95           62.86           -114.48
32.08           62.30           -114.94
32.22           61.96           -113.92
32.35           61.85           -111.54
32.48           61.93           -107.99
32.62           62.15           -103.49
32.75           62.42           -98.34
32.88           62.71           -92.90
33.02           62.97           -87.49
33.16           63.18           -82.44
33.29           63.34           -78.06
33.43           63.46           -74.63
33.57           63.53           -72.36
33.70           63.55           -71.41
33.84           63.54           -71.84
33.98           63.48           -73.64
34.12           63.38           -76.72
34.26           63.24           -80.91
34.40           63.07           -86.01
34.54           62.88           -91.79
34.69           62.70           -98.03
34.83           62.57           -104.48
34.97           62.55           -110.89
35.12           62.69           -117.07
35.26           63.01           -122.90
35.41           63.46           -128.33
35.55           64.00           -133.37
35.70           64.55           -138.12
35.84           65.07           -142.68
35.99           65.52           -147.16
36.14           65.90           -151.67
36.29           66.21           -156.36
36.44           66.46           -161.32
36.59           66.66           -166.66
36.74           66.82           -172.36
36.89           66.93           -178.39
37.04           67.02           175.40
37.19           67.07           169.18
37.35           67.10           163.14
37.50           67.11           157.45
37.65           67.11           152.30
37.81           67.11           147.86
37.97           67.13           144.30
38.12           67.21           141.74
38.28           67.35           140.20
38.44           67.53           139.66
38.59           67.73           140.01
38.75           67.94           141.12
38.91           68.14           142.83
39.07           68.31           144.99
39.23           68.45           147.40
39.39           68.55           149.85
39.56           68.63           152.14
39.72           68.67           154.12
39.88           68.68           155.70
40.05           68.65           156.82
40.21           68.60           157.47
40.38           68.51           157.67
40.54           68.39           157.46
40.71           68.24           156.89
40.88           68.08           156.08
41.04           67.93           155.11
41.21           67.82           154.10
41.38           67.75           153.09
41.55           67.74           152.11
41.72           67.79           151.20
41.90           67.89           150.35
42.07           68.03           149.57
42.24           68.19           148.85
42.42           68.37           148.15
42.59           68.54           147.44
42.76           68.70           146.70
42.94           68.85           145.93
43.12           68.97           145.13
43.29           69.07           144.28
43.47           69.15           143.37
43.65           69.21           142.39
43.83           69.25           141.32
44.01           69.28           140.12
44.19           69.31           138.77
44.37           69.34           137.19
44.56           69.39           135.36
44.74           69.45           133.24
44.92           69.55           130.84
45.11           69.67           128.14
45.29           69.82           125.17
45.48           69.98           121.97
45.67           70.15           118.59
45.86           70.32           115.12
46.04           70.47           111.62
46.23           70.61           108.17
46.42           70.72           104.84
46.61           70.81           101.69
46.81           70.88           98.79
47.00           70.92           96.20
47.19           70.93           93.97
