Freq[Hz]        [dBSPL]         Phase[Deg]
10.00           101.56          111.96
10.04           101.51          110.41
10.08           101.47          108.77
10.12           101.43          107.04
10.17           101.41          105.21
10.21           101.39          103.29
10.25           101.38          101.29
10.29           101.38          99.20
10.33           101.34          95.50
10.38           101.32          91.54
10.42           101.33          87.34
10.46           101.36          82.89
10.50           101.42          78.22
10.55           101.51          73.34
10.59           101.62          68.26
10.64           101.75          62.99
10.68           101.90          57.56
10.72           102.07          51.98
10.77           102.25          46.27
10.81           102.46          40.45
10.86           102.67          34.55
10.90           102.90          28.57
10.95           103.15          22.55
10.99           103.40          16.49
11.04           103.65          10.44
11.08           103.92          4.40
11.13           104.19          -1.60
11.17           104.46          -7.54
11.22           104.73          -13.39
11.26           105.00          -19.12
11.31           105.27          -24.72
11.36           105.53          -30.16
11.40           105.79          -35.41
11.45           106.04          -40.44
11.50           106.28          -45.24
11.55           106.51          -49.77
11.59           106.72          -54.01
11.64           106.93          -57.96
11.69           107.12          -61.58
11.74           107.30          -64.86
11.78           107.46          -67.80
11.83           107.61          -70.37
11.88           107.74          -72.56
11.93           107.85          -74.38
11.98           107.94          -75.81
12.03           108.02          -76.84
12.08           108.09          -77.49
12.13           108.13          -77.74
12.18           108.16          -77.60
12.23           108.16          -77.08
12.28           108.15          -76.16
12.33           108.13          -74.87
12.38           108.08          -73.20
12.43           108.02          -71.14
12.48           107.94          -68.72
12.53           107.84          -65.92
12.58           107.73          -62.75
12.64           107.59          -59.22
12.69           107.44          -55.33
12.74           107.27          -51.08
12.79           107.08          -46.48
12.85           106.88          -41.52
12.90           106.65          -36.22
12.95           106.41          -30.59
13.00           106.15          -24.63
13.06           105.88          -18.35
13.11           105.58          -11.78
13.17           105.27          -4.92
13.22           104.95          2.21
13.27           104.60          9.58
13.33           104.24          17.16
13.38           103.86          24.94
13.44           103.47          32.88
13.49           103.06          40.95
13.55           102.64          49.11
13.61           102.20          57.33
13.66           101.75          65.57
13.72           101.29          73.78
13.77           100.82          81.92
13.83           100.34          89.95
13.89           99.85           97.82
13.94           99.35           105.48
14.00           98.84           112.89
14.06           98.33           119.99
14.12           97.82           126.75
14.18           97.30           133.09
14.23           96.78           138.98
14.29           96.26           144.36
14.35           95.74           149.18
14.41           95.22           153.40
14.47           94.71           156.99
14.53           94.20           159.91
14.59           93.70           162.14
14.65           93.21           163.66
14.71           92.72           164.46
14.77           92.25           164.55
14.83           91.79           163.91
14.89           91.35           162.57
14.95           90.92           160.53
15.01           90.50           157.84
15.08           90.11           154.51
15.14           89.73           150.58
15.20           89.37           146.12
15.26           89.04           141.16
15.33           88.72           135.76
15.39           88.43           129.97
15.45           88.16           123.84
15.52           87.92           117.44
15.58           87.71           110.81
15.64           87.52           104.02
15.71           87.36           97.13
15.77           87.23           90.19
15.84           87.13           83.25
15.90           87.06           76.36
15.97           87.02           69.56
16.03           87.02           62.89
16.10           87.05           56.37
16.17           87.12           50.04
16.23           87.21           43.89
16.30           87.34           37.96
16.37           87.50           32.23
16.43           87.69           26.72
16.50           87.90           21.41
16.57           88.14           16.29
16.64           88.41           11.34
16.70           88.70           6.53
16.77           89.00           1.82
16.84           89.33           -2.81
16.91           89.67           -7.40
16.98           90.02           -11.98
17.05           90.38           -16.58
17.12           90.75           -21.24
17.19           91.13           -26.00
17.26           91.51           -30.87
17.33           91.90           -35.89
17.40           92.28           -41.07
17.48           92.65           -46.42
17.55           93.02           -51.95
17.62           93.38           -57.66
17.69           93.73           -63.55
17.77           94.05           -69.60
17.84           94.36           -75.81
17.91           94.64           -82.15
17.99           94.90           -88.60
18.06           95.12           -95.11
18.13           95.32           -101.65
18.21           95.48           -108.17
18.28           95.60           -114.62
18.36           95.68           -120.95
18.43           95.72           -127.11
18.51           95.71           -133.03
18.59           95.66           -138.67
18.66           95.56           -143.97
18.74           95.41           -148.90
18.82           95.21           -153.41
18.89           94.96           -157.47
18.97           94.66           -161.06
19.05           94.31           -164.15
19.13           93.90           -166.74
19.21           93.44           -168.81
19.29           92.92           -170.38
19.37           92.35           -171.44
19.44           91.71           -172.01
19.52           91.01           -172.12
19.61           90.26           -171.79
19.69           89.45           -171.07
19.77           88.60           -169.99
19.85           87.71           -168.61
19.93           86.79           -166.97
20.01           85.86           -165.12
20.09           84.93           -163.10
20.18           84.02           -160.97
20.26           83.14           -158.76
20.34           82.30           -156.51
20.43           81.53           -154.26
20.51           80.85           -152.03
20.59           80.27           -149.86
20.68           79.80           -147.77
20.76           79.44           -145.79
20.85           79.21           -143.93
20.94           79.08           -142.21
21.02           79.05           -140.65
21.11           79.10           -139.24
21.20           79.22           -138.00
21.28           79.38           -136.93
21.37           79.58           -136.03
21.46           79.79           -135.30
21.55           80.00           -134.74
21.63           80.21           -134.34
21.72           80.40           -134.10
21.81           80.57           -134.00
21.90           80.72           -134.03
21.99           80.85           -134.19
22.08           80.94           -134.43
22.17           81.00           -134.75
22.27           81.02           -135.11
22.36           81.01           -135.50
22.45           80.96           -135.86
22.54           80.88           -136.17
22.63           80.75           -136.38
22.73           80.58           -136.46
22.82           80.37           -136.35
22.91           80.13           -136.01
23.01           79.84           -135.40
23.10           79.52           -134.48
23.20           79.17           -133.24
23.29           78.77           -131.63
23.39           78.35           -129.67
23.49           77.88           -127.32
23.58           77.39           -124.59
23.68           76.87           -121.49
23.78           76.32           -118.03
23.87           75.75           -114.22
23.97           75.15           -110.09
24.07           74.53           -105.67
24.17           73.90           -101.01
24.27           73.25           -96.16
24.37           72.60           -91.15
24.47           71.95           -86.06
24.57           71.30           -80.91
24.67           70.67           -75.76
24.77           70.05           -70.65
24.88           69.46           -65.62
24.98           68.91           -60.71
25.08           68.41           -55.95
25.18           67.96           -51.39
25.29           67.59           -47.04
25.39           67.31           -42.95
25.50           67.14           -39.14
25.60           67.11           -35.63
25.71           67.23           -32.45
25.81           67.52           -29.61
25.92           68.01           -27.14
26.02           68.69           -25.06
26.13           69.55           -23.41
26.24           70.56           -22.22
26.35           71.69           -21.52
26.45           72.89           -21.36
26.56           74.12           -21.77
26.67           75.34           -22.79
26.78           76.52           -24.49
26.89           77.61           -26.92
27.00           78.60           -30.12
27.11           79.46           -34.16
27.23           80.19           -39.09
27.34           80.78           -44.94
27.45           81.26           -51.72
27.56           81.64           -59.40
27.68           81.92           -67.94
27.79           82.13           -77.29
27.90           82.27           -87.33
28.02           82.34           -97.96
28.14           82.35           -109.03
28.25           82.29           -120.37
28.37           82.17           -131.77
28.48           81.96           -143.00
28.60           81.67           -153.81
28.72           81.29           -163.96
28.84           80.83           -173.21
28.96           80.29           178.65
29.07           79.71           171.80
29.19           79.10           166.36
29.31           78.50           162.46
29.43           77.92           160.15
29.56           77.39           159.46
29.68           76.94           160.39
29.80           76.55           162.87
29.92           76.23           166.82
30.04           75.96           172.10
30.17           75.72           178.55
30.29           75.50           -174.02
30.42           75.28           -165.84
30.54           75.05           -157.12
30.67           74.80           -148.08
30.79           74.53           -138.92
30.92           74.23           -129.83
31.05           73.89           -121.02
31.18           73.51           -112.67
31.30           73.08           -104.96
31.43           72.61           -98.05
31.56           72.09           -92.09
31.69           71.53           -87.19
31.82           70.94           -83.43
31.95           70.34           -80.85
32.08           69.76           -79.49
32.22           69.21           -79.35
32.35           68.72           -80.41
32.48           68.30           -82.62
32.62           67.95           -85.92
32.75           67.69           -90.22
32.88           67.50           -95.39
33.02           67.37           -101.30
33.16           67.28           -107.80
33.29           67.22           -114.71
33.43           67.19           -121.85
33.57           67.16           -129.03
33.70           67.14           -136.05
33.84           67.11           -142.74
33.98           67.08           -148.91
34.12           67.06           -154.40
34.26           67.02           -159.03
34.40           67.00           -162.67
34.54           66.98           -165.23
34.69           66.97           -166.67
34.83           66.98           -167.01
34.97           67.01           -166.30
35.12           67.08           -164.65
35.26           67.17           -162.21
35.41           67.30           -159.18
35.55           67.46           -155.80
35.70           67.64           -152.35
35.84           67.83           -149.13
35.99           68.03           -146.37
36.14           68.22           -144.30
36.29           68.39           -143.11
36.44           68.53           -142.96
36.59           68.64           -143.94
36.74           68.71           -146.05
36.89           68.73           -149.26
37.04           68.70           -153.40
37.19           68.62           -158.29
37.35           68.48           -163.69
37.50           68.28           -169.39
37.65           68.04           -175.15
37.81           67.73           179.29
37.97           67.37           174.17
38.12           66.95           169.70
38.28           66.46           166.01
38.44           65.92           163.18
38.59           65.32           161.21
38.75           64.68           160.05
38.91           64.03           159.64
39.07           63.42           159.85
39.23           62.92           160.55
39.39           62.62           161.56
39.56           62.60           162.66
39.72           62.83           163.69
39.88           63.25           164.52
40.05           63.74           165.05
40.21           64.24           165.21
40.38           64.68           164.95
40.54           65.07           164.28
40.71           65.40           163.21
40.88           65.67           161.80
41.04           65.90           160.13
41.21           66.09           158.29
41.38           66.25           156.33
41.55           66.39           154.33
41.72           66.50           152.33
41.90           66.59           150.37
42.07           66.66           148.47
42.24           66.70           146.66
42.42           66.73           144.92
42.59           66.76           143.23
42.76           66.81           141.59
42.94           66.87           139.97
43.12           66.95           138.36
43.29           67.05           136.73
43.47           67.15           135.09
43.65           67.27           133.42
43.83           67.39           131.74
44.01           67.53           130.04
44.19           67.67           128.35
44.37           67.84           126.67
44.56           68.04           125.03
44.74           68.28           123.43
44.92           68.56           121.89
45.11           68.87           120.40
45.29           69.20           118.97
45.48           69.53           117.60
45.67           69.84           116.27
45.86           70.11           114.96
46.04           70.33           113.67
46.23           70.50           112.40
46.42           70.63           111.12
46.61           70.72           109.85
46.81           70.79           108.57
47.00           70.83           107.31
47.19           70.85           106.05
47.39           70.85           104.81
47.58           70.83           103.59
47.78           70.79           102.37
47.97           70.73           101.15
48.17           70.66           99.89
48.37           70.58           98.59
48.57           70.51           97.20
48.77           70.48           95.71
48.97           70.47           94.10
49.17           70.51           92.36
49.37           70.58           90.49
49.58           70.67           88.50
49.78           70.78           86.41
49.98           70.90           84.23
50.19           71.02           81.98
50.40           71.14           79.68
50.60           71.26           77.33
50.81           71.36           74.95
51.02           71.46           72.55
51.23           71.54           70.15
51.44           71.61           67.77
51.65           71.68           65.43
51.86           71.75           63.18
52.08           71.83           61.03
52.29           71.91           59.00
52.51           72.02           57.11
52.72           72.13           55.35
52.94           72.25           53.71
53.16           72.38           52.18
53.38           72.51           50.71
53.60           72.65           49.30
53.82           72.79           47.92
54.04           72.93           46.60
54.26           73.06           45.32
54.48           73.20           44.11
54.71           73.33           42.99
54.93           73.46           41.94
55.16           73.60           40.94
55.39           73.73           39.96
55.61           73.86           38.92
55.84           73.99           37.77
56.07           74.11           36.43
56.30           74.22           34.87
56.53           74.31           33.06
56.77           74.38           31.01
57.00           74.43           28.74
57.23           74.45           26.29
57.47           74.45           23.70
57.71           74.41           21.02
57.94           74.36           18.29
58.18           74.29           15.54
58.42           74.21           12.85
58.66           74.14           10.25
58.90           74.09           7.82
59.15           74.07           5.61
59.39           74.08           3.69
59.63           74.13           2.08
59.88           74.22           0.79
60.12           74.34           -0.21
60.37           74.47           -0.95
60.62           74.62           -1.50
60.87           74.78           -1.91
61.12           74.95           -2.25
61.37           75.13           -2.56
61.62           75.32           -2.87
61.88           75.51           -3.22
62.13           75.70           -3.63
62.39           75.89           -4.11
62.64           76.06           -4.67
62.90           76.22           -5.33
63.16           76.37           -6.07
63.42           76.51           -6.90
63.68           76.63           -7.82
63.94           76.75           -8.84
64.21           76.85           -9.98
64.47           76.95           -11.26
64.74           77.04           -12.70
65.00           77.12           -14.31
65.27           77.21           -16.08
65.54           77.30           -18.01
65.81           77.41           -20.09
66.08           77.55           -22.31
66.35           77.72           -24.65
66.62           77.91           -27.13
66.90           78.13           -29.75
67.17           78.35           -32.53
67.45           78.56           -35.44
67.73           78.76           -38.48
68.00           78.94           -41.60
68.28           79.12           -44.75
68.56           79.30           -47.89
68.85           79.47           -50.97
69.13           79.64           -54.00
69.41           79.80           -56.99
69.70           79.94           -60.00
69.99           80.06           -63.09
70.27           80.13           -66.31
70.56           80.17           -69.67
70.85           80.16           -73.17
71.14           80.11           -76.74
71.44           80.02           -80.32
71.73           79.90           -83.85
72.03           79.76           -87.30
72.32           79.60           -90.70
72.62           79.43           -94.08
72.92           79.26           -97.54
73.22           79.08           -101.12
73.52           78.91           -104.85
73.82           78.74           -108.73
74.13           78.57           -112.73
74.43           78.40           -116.79
74.74           78.22           -120.86
75.04           78.05           -124.88
75.35           77.88           -128.82
75.66           77.70           -132.66
75.97           77.52           -136.41
76.29           77.35           -140.07
76.60           77.17           -143.65
76.92           76.97           -147.16
77.23           76.76           -150.57
77.55           76.51           -153.82
