Freq[Hz]        [dBSPL]         Phase[Deg]
10.00           103.04          150.61
10.04           102.96          150.63
10.08           102.89          150.51
10.12           102.83          150.25
10.17           102.77          149.84
10.21           102.72          149.30
10.25           102.68          148.62
10.29           102.65          147.80
10.33           102.53          146.86
10.38           102.43          145.53
10.42           102.36          143.79
10.46           102.32          141.67
10.50           102.30          139.15
10.55           102.30          136.25
10.59           102.32          132.98
10.64           102.37          129.34
10.68           102.43          125.35
10.72           102.51          121.02
10.77           102.60          116.36
10.81           102.71          111.40
10.86           102.82          106.13
10.90           102.95          100.58
10.95           103.09          94.76
10.99           103.24          88.69
11.04           103.39          82.38
11.08           103.54          75.84
11.13           103.69          69.10
11.17           103.85          62.16
11.22           104.00          55.06
11.26           104.15          47.79
11.31           104.29          40.39
11.36           104.43          32.87
11.40           104.56          25.25
11.45           104.68          17.55
11.50           104.78          9.78
11.55           104.87          1.97
11.59           104.95          -5.86
11.64           105.02          -13.70
11.69           105.06          -21.52
11.74           105.10          -29.32
11.78           105.11          -37.06
11.83           105.11          -44.74
11.88           105.10          -52.34
11.93           105.06          -59.84
11.98           105.01          -67.22
12.03           104.95          -74.47
12.08           104.87          -81.57
12.13           104.78          -88.51
12.18           104.67          -95.26
12.23           104.55          -101.82
12.28           104.43          -108.16
12.33           104.29          -114.27
12.38           104.14          -120.14
12.43           103.99          -125.74
12.48           103.84          -131.06
12.53           103.68          -136.07
12.58           103.52          -140.77
12.64           103.35          -145.12
12.69           103.19          -149.12
12.74           103.04          -152.74
12.79           102.89          -155.95
12.85           102.75          -158.75
12.90           102.61          -161.11
12.95           102.49          -163.01
13.00           102.38          -164.45
13.06           102.29          -165.42
13.11           102.20          -165.91
13.17           102.14          -165.92
13.22           102.08          -165.47
13.27           102.04          -164.54
13.33           102.01          -163.17
13.38           101.99          -161.37
13.44           101.98          -159.16
13.49           101.97          -156.56
13.55           101.97          -153.61
13.61           101.96          -150.34
13.66           101.94          -146.80
13.72           101.92          -143.02
13.77           101.88          -139.06
13.83           101.82          -134.96
13.89           101.75          -130.76
13.94           101.65          -126.51
14.00           101.52          -122.27
14.06           101.37          -118.08
14.12           101.18          -113.99
14.18           100.95          -110.06
14.23           100.69          -106.35
14.29           100.39          -102.90
14.35           100.05          -99.77
14.41           99.66           -97.00
14.47           99.23           -94.63
14.53           98.75           -92.70
14.59           98.21           -91.22
14.65           97.63           -90.24
14.71           96.98           -89.74
14.77           96.28           -89.76
14.83           95.52           -90.28
14.89           94.70           -91.31
14.95           93.81           -92.83
15.01           92.85           -94.82
15.08           91.83           -97.26
15.14           90.74           -100.11
15.20           89.60           -103.34
15.26           88.42           -106.90
15.33           87.19           -110.74
15.39           85.94           -114.83
15.45           84.67           -119.12
15.52           83.40           -123.55
15.58           82.14           -128.09
15.64           80.90           -132.69
15.71           79.72           -137.29
15.77           78.60           -141.84
15.84           77.58           -146.30
15.90           76.70           -150.62
15.97           75.98           -154.76
16.03           75.46           -158.68
16.10           75.17           -162.33
16.17           75.14           -165.69
16.23           75.37           -168.72
16.30           75.84           -171.39
16.37           76.53           -173.66
16.43           77.41           -175.51
16.50           78.42           -176.92
16.57           79.55           -177.86
16.64           80.76           -178.32
16.70           82.02           -178.28
16.77           83.31           -177.72
16.84           84.60           -176.63
16.91           85.88           -174.99
16.98           87.12           -172.78
17.05           88.32           -169.99
17.12           89.46           -166.61
17.19           90.52           -162.61
17.26           91.50           -157.99
17.33           92.40           -152.75
17.40           93.22           -146.90
17.48           93.97           -140.46
17.55           94.63           -133.44
17.62           95.23           -125.88
17.69           95.75           -117.81
17.77           96.22           -109.28
17.84           96.61           -100.35
17.91           96.95           -91.08
17.99           97.23           -81.53
18.06           97.45           -71.80
18.13           97.61           -61.96
18.21           97.72           -52.12
18.28           97.78           -42.39
18.36           97.79           -32.86
18.43           97.75           -23.65
18.51           97.66           -14.87
18.59           97.53           -6.63
18.66           97.36           0.98
18.74           97.15           7.85
18.82           96.90           13.94
18.89           96.63           19.18
18.97           96.32           23.54
19.05           95.99           27.00
19.13           95.64           29.55
19.21           95.27           31.21
19.29           94.89           32.01
19.37           94.50           31.99
19.44           94.10           31.24
19.52           93.69           29.83
19.61           93.28           27.87
19.69           92.86           25.49
19.77           92.44           22.84
19.85           92.01           20.05
19.93           91.57           17.29
20.01           91.13           14.70
20.09           90.68           12.44
20.18           90.22           10.63
