Freq[Hz]        [dBSPL]         Phase[Deg]
10.00           106.41          -57.34
10.04           106.39          -58.83
10.08           106.37          -60.40
10.12           106.36          -62.03
10.17           106.34          -63.74
10.21           106.32          -65.52
10.25           106.29          -67.37
10.29           106.27          -69.28
10.33           106.23          -72.73
10.38           106.19          -76.38
10.42           106.14          -80.23
10.46           106.09          -84.26
10.50           106.04          -88.46
10.55           105.99          -92.84
10.59           105.93          -97.37
10.64           105.87          -102.04
10.68           105.81          -106.85
10.72           105.74          -111.78
10.77           105.68          -116.82
10.81           105.61          -121.94
10.86           105.54          -127.15
10.90           105.48          -132.42
10.95           105.41          -137.74
10.99           105.34          -143.09
11.04           105.28          -148.46
11.08           105.21          -153.84
11.13           105.15          -159.20
11.17           105.09          -164.53
11.22           105.03          -169.82
11.26           104.98          -175.04
11.31           104.93          179.83
11.36           104.88          174.79
11.40           104.84          169.87
11.45           104.81          165.10
11.50           104.78          160.47
11.55           104.75          156.03
11.59           104.74          151.76
11.64           104.73          147.71
11.69           104.72          143.86
11.74           104.73          140.25
11.78           104.74          136.87
11.83           104.75          133.74
11.88           104.78          130.86
11.93           104.81          128.25
11.98           104.84          125.90
12.03           104.88          123.83
12.08           104.92          122.03
12.13           104.96          120.51
12.18           105.01          119.25
12.23           105.06          118.28
12.28           105.10          117.58
12.33           105.15          117.15
12.38           105.19          117.00
12.43           105.24          117.12
12.48           105.27          117.52
12.53           105.31          118.19
12.58           105.33          119.13
12.64           105.35          120.35
12.69           105.36          121.83
12.74           105.37          123.59
12.79           105.36          125.62
12.85           105.34          127.91
12.90           105.31          130.48
12.95           105.27          133.31
13.00           105.21          136.40
13.06           105.14          139.74
13.11           105.06          143.33
13.17           104.95          147.16
13.22           104.84          151.21
13.27           104.71          155.47
13.33           104.56          159.93
13.38           104.39          164.57
13.44           104.21          169.37
13.49           104.01          174.32
13.55           103.80          179.38
13.61           103.57          -175.45
13.66           103.33          -170.22
13.72           103.07          -164.94
13.77           102.80          -159.65
13.83           102.52          -154.36
13.89           102.23          -149.12
13.94           101.92          -143.95
14.00           101.61          -138.88
14.06           101.28          -133.95
14.12           100.95          -129.17
14.18           100.62          -124.60
14.23           100.27          -120.26
14.29           99.92           -116.18
14.35           99.57           -112.40
14.41           99.22           -108.94
14.47           98.86           -105.83
14.53           98.50           -103.09
14.59           98.15           -100.73
14.65           97.79           -98.77
14.71           97.44           -97.21
14.77           97.10           -96.07
14.83           96.75           -95.34
14.89           96.41           -95.01
14.95           96.08           -95.09
15.01           95.75           -95.55
15.08           95.44           -96.39
15.14           95.12           -97.57
15.20           94.82           -99.08
15.26           94.52           -100.88
15.33           94.23           -102.96
15.39           93.95           -105.27
15.45           93.67           -107.79
15.52           93.40           -110.50
15.58           93.14           -113.35
15.64           92.89           -116.33
15.71           92.65           -119.39
15.77           92.42           -122.51
15.84           92.19           -125.65
15.90           91.98           -128.78
15.97           91.77           -131.89
16.03           91.58           -134.94
16.10           91.39           -137.90
16.17           91.22           -140.76
16.23           91.05           -143.49
16.30           90.90           -146.08
16.37           90.76           -148.51
16.43           90.63           -150.75
16.50           90.52           -152.80
16.57           90.41           -154.64
16.64           90.33           -156.26
16.70           90.26           -157.65
16.77           90.21           -158.80
16.84           90.17           -159.71
16.91           90.16           -160.37
16.98           90.16           -160.76
17.05           90.18           -160.88
17.12           90.23           -160.71
17.19           90.30           -160.25
17.26           90.39           -159.50
17.33           90.50           -158.44
17.40           90.64           -157.09
17.48           90.80           -155.44
17.55           90.98           -153.50
17.62           91.19           -151.27
17.69           91.41           -148.78
17.77           91.64           -146.03
17.84           91.89           -143.04
17.91           92.14           -139.84
17.99           92.41           -136.44
18.06           92.67           -132.89
18.13           92.94           -129.20
18.21           93.20           -125.42
18.28           93.45           -121.58
18.36           93.69           -117.72
18.43           93.91           -113.88
18.51           94.11           -110.10
18.59           94.30           -106.42
18.66           94.45           -102.88
18.74           94.58           -99.51
18.82           94.68           -96.34
18.89           94.75           -93.38
18.97           94.79           -90.66
19.05           94.80           -88.19
19.13           94.78           -85.97
19.21           94.73           -84.01
19.29           94.64           -82.30
19.37           94.52           -80.83
19.44           94.36           -79.58
19.52           94.18           -78.54
19.61           93.96           -77.68
19.69           93.71           -76.96
19.77           93.43           -76.34
19.85           93.13           -75.78
19.93           92.80           -75.24
20.01           92.44           -74.68
20.09           92.07           -74.06
20.18           91.68           -73.34
20.26           91.27           -72.49
20.34           90.85           -71.50
20.43           90.41           -70.34
20.51           89.97           -68.99
20.59           89.53           -67.45
20.68           89.08           -65.72
20.76           88.62           -63.78
20.85           88.17           -61.66
20.94           87.72           -59.36
21.02           87.28           -56.90
21.11           86.84           -54.31
21.20           86.41           -51.61
21.28           85.98           -48.84
21.37           85.56           -46.04
21.46           85.14           -43.24
21.55           84.73           -40.48
21.63           84.33           -37.79
21.72           83.94           -35.20
21.81           83.55           -32.72
21.90           83.17           -30.38
21.99           82.80           -28.20
22.08           82.44           -26.18
22.17           82.08           -24.33
22.27           81.73           -22.65
22.36           81.39           -21.15
22.45           81.05           -19.82
22.54           80.72           -18.64
22.63           80.39           -17.60
22.73           80.06           -16.69
22.82           79.74           -15.87
22.91           79.42           -15.14
23.01           79.10           -14.45
23.10           78.77           -13.80
23.20           78.45           -13.17
23.29           78.13           -12.53
23.39           77.80           -11.89
23.49           77.47           -11.21
23.58           77.13           -10.49
23.68           76.79           -9.73
23.78           76.45           -8.91
23.87           76.10           -8.02
23.97           75.75           -7.07
24.07           75.40           -6.06
24.17           75.04           -4.98
24.27           74.69           -3.83
24.37           74.33           -2.63
24.47           73.98           -1.37
24.57           73.63           -0.07
24.67           73.28           1.29
24.77           72.95           2.68
24.88           72.62           4.10
24.98           72.31           5.55
25.08           72.01           7.02
25.18           71.74           8.51
25.29           71.49           10.01
25.39           71.28           11.50
25.50           71.10           12.99
25.60           70.98           14.46
25.71           70.91           15.91
25.81           70.91           17.33
25.92           70.98           18.73
26.02           71.13           20.09
26.13           71.36           21.44
26.24           71.68           22.79
26.35           72.06           24.15
26.45           72.50           25.54
26.56           72.99           27.00
26.67           73.51           28.55
26.78           74.04           30.25
26.89           74.57           32.12
27.00           75.07           34.22
27.11           75.54           36.60
