Freq[Hz]        [dBSPL]         Phase[Deg]
10.00           107.19          -135.20
10.04           107.17          -136.23
10.08           107.15          -137.38
10.12           107.14          -138.64
10.17           107.12          -140.01
10.21           107.10          -141.48
10.25           107.09          -143.04
10.29           107.07          -144.70
10.33           107.04          -147.47
10.38           107.00          -150.53
10.42           106.97          -153.86
10.46           106.94          -157.46
10.50           106.91          -161.31
10.55           106.88          -165.38
10.59           106.86          -169.67
10.64           106.83          -174.14
10.68           106.81          -178.78
10.72           106.78          176.46
10.77           106.76          171.58
10.81           106.74          166.62
10.86           106.72          161.61
10.90           106.70          156.57
10.95           106.68          151.54
10.99           106.66          146.54
11.04           106.64          141.60
11.08           106.63          136.76
11.13           106.61          132.05
11.17           106.59          127.50
11.22           106.58          123.14
11.26           106.56          119.00
11.31           106.54          115.13
11.36           106.53          111.56
11.40           106.51          108.33
11.45           106.49          105.47
11.50           106.48          103.01
11.55           106.46          100.98
11.59           106.44          99.41
11.64           106.42          98.32
11.69           106.40          97.71
11.74           106.38          97.61
11.78           106.35          98.01
11.83           106.33          98.92
11.88           106.30          100.33
11.93           106.27          102.24
11.98           106.23          104.63
12.03           106.20          107.48
12.08           106.16          110.77
12.13           106.11          114.46
12.18           106.07          118.53
12.23           106.01          122.94
12.28           105.95          127.65
12.33           105.89          132.62
12.38           105.82          137.83
12.43           105.74          143.22
12.48           105.66          148.77
12.53           105.57          154.42
12.58           105.47          160.14
12.64           105.36          165.89
12.69           105.25          171.62
12.74           105.12          177.28
12.79           104.99          -177.16
12.85           104.84          -171.77
12.90           104.68          -166.57
12.95           104.52          -161.62
13.00           104.34          -156.94
13.06           104.15          -152.57
13.11           103.94          -148.54
13.17           103.73          -144.87
13.22           103.50          -141.58
13.27           103.26          -138.68
13.33           103.01          -136.17
13.38           102.75          -134.07
13.44           102.48          -132.36
13.49           102.19          -131.04
13.55           101.90          -130.09
13.61           101.60          -129.50
13.66           101.29          -129.24
13.72           100.98          -129.28
13.77           100.66          -129.59
13.83           100.34          -130.14
13.89           100.01          -130.91
13.94           99.68           -131.86
14.00           99.36           -132.96
14.06           99.04           -134.18
14.12           98.72           -135.48
14.18           98.41           -136.84
14.23           98.10           -138.20
14.29           97.81           -139.54
14.35           97.53           -140.83
14.41           97.26           -142.04
14.47           97.01           -143.15
14.53           96.77           -144.14
14.59           96.56           -144.99
14.65           96.36           -145.70
14.71           96.18           -146.26
14.77           96.03           -146.69
14.83           95.89           -146.97
14.89           95.78           -147.14
14.95           95.68           -147.20
15.01           95.61           -147.18
15.08           95.55           -147.12
15.14           95.51           -147.04
15.20           95.48           -146.99
15.26           95.47           -147.02
15.33           95.46           -147.17
15.39           95.47           -147.48
15.45           95.48           -148.00
15.52           95.50           -148.78
15.58           95.52           -149.87
15.64           95.55           -151.32
15.71           95.57           -153.18
15.77           95.59           -155.50
15.84           95.61           -158.31
15.90           95.62           -161.65
15.97           95.62           -165.52
16.03           95.62           -169.95
16.10           95.61           -174.94
16.17           95.60           179.53
16.23           95.57           173.46
16.30           95.54           166.89
16.37           95.50           159.85
16.43           95.46           152.39
16.50           95.40           144.56
16.57           95.34           136.44
16.64           95.28           128.11
16.70           95.21           119.64
16.77           95.14           111.15
16.84           95.07           102.72
16.91           95.00           94.46
16.98           94.94           86.47
17.05           94.88           78.85
17.12           94.83           71.71
17.19           94.79           65.15
17.26           94.76           59.27
17.33           94.75           54.14
17.40           94.74           49.83
17.48           94.76           46.41
17.55           94.78           43.90
17.62           94.82           42.36
17.69           94.88           41.78
17.77           94.95           42.19
17.84           95.02           43.58
17.91           95.11           45.92
17.99           95.20           49.18
18.06           95.29           53.31
18.13           95.38           58.24
18.21           95.47           63.91
18.28           95.55           70.22
18.36           95.62           77.08
18.43           95.67           84.40
18.51           95.70           92.09
18.59           95.72           100.06
18.66           95.71           108.21
18.74           95.68           116.45
18.82           95.62           124.71
18.89           95.53           132.91
18.97           95.41           140.98
19.05           95.27           148.84
19.13           95.09           156.44
19.21           94.88           163.72
19.29           94.64           170.62
19.37           94.38           177.10
19.44           94.08           -176.87
19.52           93.75           -171.34
19.61           93.39           -166.33
19.69           93.01           -161.87
19.77           92.61           -157.97
19.85           92.19           -154.65
19.93           91.75           -151.93
20.01           91.31           -149.82
20.09           90.86           -148.34
20.18           90.42           -147.48
20.26           89.98           -147.25
20.34           89.55           -147.64
20.43           89.14           -148.62
20.51           88.75           -150.18
20.59           88.38           -152.27
20.68           88.04           -154.86
20.76           87.72           -157.89
20.85           87.44           -161.32
20.94           87.18           -165.07
21.02           86.94           -169.06
21.11           86.73           -173.21
21.20           86.54           -177.44
21.28           86.36           178.37
21.37           86.19           174.32
21.46           86.02           170.50
21.55           85.85           167.03
21.63           85.68           163.97
21.72           85.51           161.39
21.81           85.32           159.35
21.90           85.13           157.89
21.99           84.92           157.04
22.08           84.70           156.81
22.17           84.46           157.21
22.27           84.20           158.22
22.36           83.93           159.80
22.45           83.63           161.93
22.54           83.32           164.52
22.63           82.99           167.52
22.73           82.65           170.83
22.82           82.29           174.34
22.91           81.92           177.95
23.01           81.54           -178.44
23.10           81.15           -174.90
23.20           80.76           -171.51
23.29           80.36           -168.33
23.39           79.96           -165.41
23.49           79.57           -162.79
23.58           79.18           -160.51
23.68           78.80           -158.57
23.78           78.43           -156.99
23.87           78.08           -155.76
23.97           77.73           -154.85
24.07           77.41           -154.24
24.17           77.11           -153.88
24.27           76.83           -153.71
24.37           76.58           -153.68
24.47           76.36           -153.72
24.57           76.16           -153.78
24.67           76.00           -153.84
24.77           75.87           -153.85
24.88           75.78           -153.78
24.98           75.72           -153.62
25.08           75.70           -153.35
25.18           75.71           -152.98
25.29           75.76           -152.49
25.39           75.84           -151.90
25.50           75.95           -151.23
25.60           76.09           -150.51
25.71           76.26           -149.77
25.81           76.46           -149.04
25.92           76.67           -148.35
26.02           76.90           -147.72
26.13           77.15           -147.14
26.24           77.41           -146.60
26.35           77.67           -146.07
26.45           77.94           -145.52
26.56           78.21           -144.90
26.67           78.48           -144.13
26.78           78.74           -143.14
26.89           78.99           -141.84
27.00           79.22           -140.11
27.11           79.44           -137.83
27.23           79.64           -134.88
27.34           79.82           -131.17
27.45           79.97           -126.64
27.56           80.10           -121.25
27.68           80.20           -115.00
27.79           80.28           -107.95
27.90           80.33           -100.17
28.02           80.35           -91.78
28.14           80.35           -82.94
28.25           80.33           -73.85
28.37           80.28           -64.74
28.48           80.21           -55.90
28.60           80.11           -47.63
28.72           80.00           -40.23
28.84           79.87           -33.95
28.96           79.72           -29.01
29.07           79.56           -25.54
29.19           79.38           -23.62
29.31           79.19           -23.26
29.43           78.98           -24.40
29.56           78.75           -26.89
29.68           78.50           -30.52
29.80           78.24           -35.01
29.92           77.94           -39.99
30.04           77.62           -45.05
30.17           77.27           -49.76
30.29           76.88           -53.73
30.42           76.46           -56.59
30.54           75.99           -58.04
30.67           75.49           -57.86
30.79           74.93           -55.94
30.92           74.32           -52.24
31.05           73.66           -46.81
31.18           72.93           -39.81
31.30           72.14           -31.49
31.43           71.30           -22.17
31.56           70.39           -12.22
31.69           69.43           -2.03
31.82           68.44           8.02
31.95           67.45           17.54
32.08           66.48           26.22
32.22           65.56           33.83
32.35           64.74           40.24
32.48           64.04           45.37
32.62           63.47           49.25
32.75           63.06           51.99
32.88           62.80           53.78
33.02           62.67           54.85
33.16           62.66           55.44
33.29           62.74           55.85
33.43           62.89           56.38
33.57           63.10           57.31
33.70           63.35           58.86
33.84           63.64           61.17
33.98           63.98           64.37
34.12           64.34           68.47
34.26           64.74           73.47
34.40           65.18           79.31
34.54           65.66           85.86
34.69           66.16           92.99
34.83           66.68           100.50
34.97           67.21           108.17
35.12           67.73           115.79
35.26           68.22           123.16
35.41           68.68           130.12
35.55           69.07           136.49
35.70           69.40           142.16
35.84           69.65           147.02
35.99           69.83           150.99
36.14           69.95           154.06
36.29           70.01           156.24
36.44           70.01           157.57
36.59           69.96           158.13
36.74           69.85           158.02
36.89           69.68           157.34
37.04           69.46           156.24
37.19           69.17           154.85
37.35           68.81           153.32
37.50           68.38           151.76
37.65           67.90           150.31
37.81           67.36           149.06
37.97           66.82           148.12
38.12           66.31           147.57
38.28           65.89           147.45
38.44           65.60           147.79
38.59           65.49           148.59
38.75           65.55           149.82
38.91           65.78           151.45
39.07           66.15           153.40
39.23           66.60           155.60
39.39           67.09           157.93
39.56           67.57           160.30
39.72           68.01           162.58
39.88           68.37           164.67
40.05           68.64           166.47
40.21           68.83           167.92
40.38           68.94           168.98
40.54           68.98           169.60
40.71           68.96           169.81
40.88           68.89           169.63
41.04           68.76           169.11
41.21           68.58           168.32
41.38           68.33           167.36
41.55           68.00           166.31
41.72           67.58           165.25
41.90           67.07           164.22
42.07           66.45           163.26
42.24           65.75           162.39
42.42           65.02           161.62
42.59           64.33           160.92
42.76           63.77           160.23
42.94           63.42           159.48
43.12           63.30           158.60
43.29           63.39           157.50
43.47           63.65           156.12
43.65           64.02           154.38
43.83           64.47           152.20
44.01           64.95           149.53
44.19           65.45           146.31
44.37           65.94           142.54
44.56           66.41           138.21
44.74           66.87           133.38
44.92           67.31           128.13
45.11           67.72           122.54
45.29           68.12           116.76
45.48           68.49           110.95
45.67           68.85           105.29
45.86           69.20           99.95
46.04           69.54           95.06
46.23           69.87           90.74
46.42           70.18           87.05
46.61           70.49           84.05
46.81           70.79           81.75
47.00           71.07           80.13
47.19           71.33           79.15
47.39           71.58           78.75
47.58           71.80           78.88
47.78           72.01           79.47
47.97           72.19           80.42
48.17           72.34           81.66
48.37           72.48           83.09
48.57           72.58           84.60
48.77           72.66           86.09
48.97           72.71           87.48
49.17           72.73           88.70
49.37           72.74           89.71
49.58           72.72           90.49
49.78           72.69           91.03
49.98           72.66           91.33
50.19           72.62           91.42
50.40           72.60           91.31
50.60           72.59           91.00
50.81           72.59           90.48
51.02           72.62           89.72
51.23           72.65           88.71
51.44           72.69           87.39
51.65           72.74           85.75
51.86           72.78           83.79
52.08           72.81           81.51
52.29           72.84           78.94
52.51           72.86           76.12
52.72           72.89           73.14
52.94           72.91           70.04
53.16           72.93           66.89
53.38           72.95           63.72
53.60           72.97           60.56
53.82           73.00           57.41
54.04           73.03           54.29
54.26           73.09           51.18
54.48           73.16           48.10
54.71           73.28           45.08
54.93           73.42           42.16
55.16           73.59           39.36
55.39           73.76           36.72
55.61           73.93           34.27
55.84           74.07           32.01
56.07           74.18           29.90
56.30           74.25           27.91
56.53           74.30           25.96
56.77           74.31           24.02
57.00           74.31           22.03
57.23           74.30           19.96
57.47           74.27           17.82
57.71           74.25           15.67
57.94           74.22           13.56
58.18           74.18           11.57
58.42           74.15           9.78
58.66           74.11           8.27
58.90           74.08           7.06
59.15           74.06           6.11
59.39           74.07           5.38
59.63           74.10           4.79
59.88           74.17           4.24
60.12           74.25           3.66
60.37           74.36           2.98
60.62           74.47           2.22
60.87           74.59           1.41
61.12           74.70           0.59
61.37           74.82           -0.19
61.62           74.93           -0.89
61.88           75.05           -1.55
62.13           75.19           -2.20
62.39           75.33           -2.93
62.64           75.49           -3.83
62.90           75.67           -4.94
63.16           75.86           -6.28
63.42           76.05           -7.85
63.68           76.25           -9.56
63.94           76.46           -11.36
64.21           76.68           -13.15
64.47           76.92           -14.92
64.74           77.18           -16.63
65.00           77.43           -18.32
65.27           77.68           -20.04
65.54           77.91           -21.84
65.81           78.10           -23.75
66.08           78.24           -25.80
66.35           78.34           -28.01
66.62           78.42           -30.36
66.90           78.46           -32.84
67.17           78.50           -35.45
67.45           78.54           -38.19
67.73           78.59           -41.03
68.00           78.64           -43.95
68.28           78.70           -46.93
68.56           78.76           -49.91
68.85           78.82           -52.87
69.13           78.88           -55.81
69.41           78.95           -58.77
69.70           79.03           -61.82
69.99           79.13           -65.03
70.27           79.26           -68.46
70.56           79.41           -72.13
70.85           79.57           -76.00
71.14           79.71           -80.00
71.44           79.83           -84.00
71.73           79.91           -87.90
72.03           79.94           -91.68
72.32           79.94           -95.33
72.62           79.90           -98.92
72.92           79.82           -102.56
73.22           79.72           -106.31
73.52           79.59           -110.21
73.82           79.44           -114.24
74.13           79.26           -118.36
74.43           79.06           -122.46
74.74           78.82           -126.45
75.04           78.56           -130.27
75.35           78.28           -133.87
75.66           77.98           -137.24
75.97           77.69           -140.40
76.29           77.40           -143.37
76.60           77.13           -146.16
76.92           76.87           -148.75
77.23           76.62           -151.13
77.55           76.37           -153.27
77.87           76.10           -155.18
78.19           75.81           -156.91
78.51           75.48           -158.55
78.83           75.11           -160.16
79.16           74.70           -161.79
79.48           74.24           -163.40
79.81           73.73           -164.96
80.14           73.19           -166.41
80.47           72.61           -167.74
80.80           72.00           -169.02
81.13           71.39           -170.31
81.47           70.77           -171.73
81.80           70.17           -173.31
82.14           69.58           -174.97
82.47           69.05           -176.54
82.81           68.59           -177.75
83.15           68.26           -178.39
83.50           68.06           -178.40
83.84           67.99           -177.89
84.19           67.99           -177.21
84.53           68.03           -176.66
84.88           68.04           -176.37
85.23           68.03           -176.24
85.58           67.97           -175.84
85.93           67.87           -174.74
86.28           67.73           -172.82
86.64           67.56           -170.28
87.00           67.36           -167.77
87.35           67.14           -166.00
87.71           66.89           -165.49
88.07           66.61           -166.40
88.44           66.29           -168.48
88.80           65.96           -171.22
89.16           65.66           -174.04
89.53           65.48           -176.39
89.90           65.52           -177.93
90.27           65.79           -178.64
90.64           66.20           -178.84
91.01           66.62           -179.11
91.39           66.91           179.94
91.76           67.08           178.08
92.14           67.16           175.47
92.52           67.22           172.66
92.90           67.28           170.26
93.28           67.38           168.59
93.67           67.52           167.63
94.05           67.72           167.05
94.44           67.93           166.46
94.83           68.12           165.59
95.22           68.26           164.34
95.61           68.34           162.77
96.00           68.34           160.96
96.40           68.26           159.00
96.79           68.13           156.91
97.19           68.03           154.70
97.59           67.96           152.36
97.99           67.91           149.88
98.40           67.86           147.21
98.80           67.80           144.33
99.21           67.70           141.30
99.62           67.53           138.20
100.03          67.30           135.19
100.44          67.02           132.33
100.85          66.73           129.60
101.26          66.43           126.89
101.68          66.12           124.05
102.10          65.78           121.00
102.52          65.44           117.78
102.94          65.15           114.50
103.36          64.96           111.19
103.79          64.87           107.77
104.22          64.86           104.03
104.65          64.89           99.88
105.08          64.94           95.44
105.51          65.04           90.98
105.94          65.20           86.79
106.38          65.41           83.00
106.82          65.65           79.62
107.25          65.83           76.65
107.70          65.91           74.00
108.14          65.90           71.43
108.58          65.80           68.54
109.03          65.68           64.97
109.48          65.58           60.49
109.93          65.56           55.15
110.38          65.66           49.27
110.84          65.90           43.46
111.29          66.26           38.37
111.75          66.65           34.30
112.21          66.97           30.95
112.67          67.14           27.64
113.13          67.14           23.67
113.60          67.01           18.61
