Freq[Hz]        [dBSPL]         Phase[Deg]
10.00           111.68          65.94
10.04           111.58          65.97
10.08           111.49          66.14
10.12           111.39          66.44
10.17           111.29          66.87
10.21           111.19          67.43
10.25           111.09          68.11
10.29           110.99          68.92
10.33           110.78          69.89
10.38           110.56          71.22
10.42           110.33          72.91
10.46           110.10          74.96
10.50           109.87          77.36
10.55           109.62          80.10
10.59           109.37          83.16
10.64           109.12          86.53
10.68           108.86          90.19
10.72           108.60          94.12
10.77           108.34          98.31
10.81           108.07          102.73
10.86           107.80          107.38
10.90           107.53          112.21
10.95           107.26          117.23
10.99           106.99          122.40
11.04           106.72          127.70
11.08           106.45          133.12
11.13           106.18          138.63
11.17           105.91          144.20
11.22           105.65          149.82
11.26           105.39          155.45
11.31           105.13          161.09
11.36           104.88          166.68
11.40           104.63          172.22
11.45           104.40          177.68
11.50           104.17          -176.97
11.55           103.94          -171.75
11.59           103.73          -166.68
11.64           103.53          -161.78
11.69           103.33          -157.07
11.74           103.15          -152.56
11.78           102.98          -148.27
11.83           102.81          -144.21
11.88           102.66          -140.38
11.93           102.52          -136.79
11.98           102.39          -133.46
12.03           102.26          -130.37
12.08           102.15          -127.54
12.13           102.04          -124.96
12.18           101.94          -122.62
12.23           101.85          -120.53
12.28           101.76          -118.68
12.33           101.68          -117.07
12.38           101.60          -115.68
12.43           101.52          -114.53
12.48           101.44          -113.60
12.53           101.37          -112.89
12.58           101.29          -112.39
12.64           101.21          -112.11
12.69           101.13          -112.03
12.74           101.05          -112.15
12.79           100.96          -112.47
12.85           100.86          -112.97
12.90           100.76          -113.67
12.95           100.65          -114.54
13.00           100.53          -115.58
13.06           100.40          -116.79
13.11           100.26          -118.16
13.17           100.12          -119.69
13.22           99.96           -121.35
13.27           99.80           -123.15
13.33           99.62           -125.08
13.38           99.44           -127.13
13.44           99.24           -129.28
13.49           99.04           -131.53
13.55           98.83           -133.88
13.61           98.62           -136.29
13.66           98.39           -138.78
13.72           98.17           -141.32
13.77           97.94           -143.90
13.83           97.72           -146.51
