Freq[Hz]        [dBSPL]         Phase[Deg]
10.00           107.42          -136.70
10.04           107.55          -137.59
10.08           107.66          -138.41
10.12           107.76          -139.17
10.17           107.85          -139.88
10.21           107.93          -140.53
10.25           108.00          -141.12
10.29           108.06          -141.67
10.33           108.20          -143.05
10.38           108.32          -144.27
10.42           108.41          -145.35
10.46           108.48          -146.28
10.50           108.52          -147.07
10.55           108.54          -147.73
10.59           108.53          -148.27
10.64           108.50          -148.69
10.68           108.44          -149.02
10.72           108.36          -149.27
10.77           108.26          -149.44
10.81           108.13          -149.55
10.86           107.99          -149.61
10.90           107.82          -149.64
10.95           107.63          -149.65
10.99           107.43          -149.66
11.04           107.20          -149.67
11.08           106.96          -149.72
11.13           106.70          -149.80
11.17           106.42          -149.93
11.22           106.13          -150.15
11.26           105.83          -150.44
11.31           105.51          -150.85
11.36           105.18          -151.38
11.40           104.84          -152.05
11.45           104.49          -152.88
11.50           104.13          -153.88
11.55           103.76          -155.07
11.59           103.39          -156.46
11.64           103.01          -158.05
11.69           102.63          -159.85
11.74           102.25          -161.86
11.78           101.86          -164.09
11.83           101.47          -166.53
11.88           101.09          -169.17
11.93           100.71          -172.01
11.98           100.33          -175.04
12.03           99.95           -178.25
12.08           99.58           178.39
12.13           99.22           174.89
12.18           98.87           171.28
12.23           98.52           167.58
12.28           98.19           163.80
12.33           97.86           159.98
12.38           97.55           156.14
12.43           97.25           152.30
12.48           96.96           148.49
12.53           96.69           144.74
12.58           96.44           141.07
12.64           96.21           137.50
12.69           95.99           134.08
12.74           95.80           130.82
12.79           95.63           127.76
12.85           95.49           124.93
12.90           95.37           122.35
12.95           95.28           120.05
13.00           95.21           118.05
13.06           95.18           116.37
13.11           95.18           115.02
13.17           95.20           114.02
13.22           95.26           113.36
13.27           95.34           113.06
13.33           95.46           113.10
13.38           95.60           113.49
13.44           95.76           114.21
13.49           95.95           115.25
13.55           96.16           116.59
13.61           96.38           118.20
13.66           96.62           120.06
13.72           96.87           122.14
13.77           97.13           124.40
13.83           97.39           126.81
13.89           97.66           129.35
13.94           97.92           131.97
14.00           98.19           134.64
14.06           98.44           137.32
14.12           98.69           139.99
14.18           98.93           142.60
14.23           99.16           145.10
14.29           99.36           147.48
14.35           99.55           149.68
14.41           99.72           151.68
14.47           99.87           153.45
14.53           99.99           154.97
14.59           100.09          156.22
14.65           100.17          157.19
14.71           100.22          157.87
14.77           100.24          158.25
14.83           100.24          158.35
14.89           100.21          158.16
14.95           100.16          157.69
15.01           100.08          156.97
15.08           99.97           156.02
15.14           99.84           154.86
15.20           99.69           153.54
15.26           99.52           152.08
15.33           99.32           150.52
15.39           99.10           148.89
15.45           98.87           147.25
15.52           98.61           145.62
15.58           98.35           144.04
15.64           98.06           142.57
15.71           97.77           141.23
15.77           97.47           140.06
15.84           97.15           139.12
15.90           96.83           138.43
15.97           96.50           138.02
16.03           96.18           137.92
16.10           95.85           138.16
16.17           95.52           138.76
16.23           95.19           139.75
16.30           94.87           141.14
16.37           94.55           142.94
16.43           94.24           145.17
16.50           93.94           147.83
16.57           93.66           150.93
16.64           93.38           154.47
16.70           93.12           158.44
16.77           92.88           162.84
16.84           92.66           167.67
16.91           92.46           172.91
