Freq[Hz]        [dBSPL]         Phase[Deg]
10.00           105.15          -94.15
10.04           104.96          -95.14
10.08           104.76          -96.15
10.12           104.56          -97.18
10.17           104.36          -98.21
10.21           104.16          -99.25
10.25           103.96          -100.30
10.29           103.76          -101.36
10.33           103.30          -103.40
10.38           102.81          -105.48
10.42           102.29          -107.59
10.46           101.74          -109.71
10.50           101.16          -111.85
10.55           100.55          -114.00
10.59           99.92           -116.14
10.64           99.26           -118.29
10.68           98.58           -120.42
10.72           97.88           -122.53
10.77           97.16           -124.62
10.81           96.43           -126.67
10.86           95.69           -128.68
10.90           94.94           -130.64
10.95           94.18           -132.55
10.99           93.42           -134.40
11.04           92.67           -136.17
11.08           91.92           -137.87
11.13           91.19           -139.47
11.17           90.47           -140.98
11.22           89.77           -142.39
11.26           89.10           -143.67
11.31           88.47           -144.84
11.36           87.87           -145.87
11.40           87.32           -146.76
11.45           86.83           -147.50
11.50           86.40           -148.07
11.55           86.03           -148.49
11.59           85.75           -148.73
11.64           85.55           -148.79
11.69           85.44           -148.68
11.74           85.43           -148.39
11.78           85.50           -147.93
11.83           85.68           -147.30
11.88           85.94           -146.50
11.93           86.29           -145.54
11.98           86.71           -144.43
12.03           87.21           -143.18
12.08           87.77           -141.80
12.13           88.38           -140.31
12.18           89.04           -138.72
12.23           89.74           -137.04
12.28           90.46           -135.31
12.33           91.21           -133.52
12.38           91.97           -131.70
12.43           92.74           -129.87
12.48           93.51           -128.04
12.53           94.27           -126.24
12.58           95.02           -124.49
12.64           95.75           -122.79
12.69           96.45           -121.18
12.74           97.13           -119.67
12.79           97.76           -118.29
12.85           98.36           -117.06
12.90           98.91           -115.99
12.95           99.41           -115.11
13.00           99.86           -114.43
13.06           100.27          -113.96
13.11           100.62          -113.73
13.17           100.93          -113.73
13.22           101.19          -113.98
13.27           101.40          -114.48
13.33           101.57          -115.23
13.38           101.68          -116.23
13.44           101.76          -117.49
13.49           101.78          -118.98
13.55           101.77          -120.72
13.61           101.71          -122.68
13.66           101.60          -124.85
13.72           101.45          -127.21
13.77           101.27          -129.76
13.83           101.05          -132.48
13.89           100.79          -135.34
13.94           100.50          -138.34
14.00           100.18          -141.45
14.06           99.83           -144.66
14.12           99.46           -147.95
14.18           99.07           -151.31
14.23           98.67           -154.70
14.29           98.25           -158.12
14.35           97.83           -161.55
14.41           97.41           -164.97
14.47           96.99           -168.36
14.53           96.58           -171.72
14.59           96.18           -175.02
14.65           95.80           -178.28
14.71           95.44           178.53
14.77           95.11           175.41
14.83           94.81           172.36
14.89           94.53           169.37
14.95           94.29           166.46
15.01           94.08           163.62
15.08           93.91           160.83
15.14           93.76           158.09
15.20           93.64           155.40
15.26           93.55           152.74
15.33           93.49           150.09
15.39           93.44           147.45
15.45           93.42           144.81
15.52           93.41           142.16
15.58           93.41           139.47
15.64           93.43           136.75
15.71           93.46           133.97
15.77           93.50           131.12
15.84           93.54           128.20
15.90           93.59           125.18
15.97           93.64           122.07
16.03           93.70           118.84
16.10           93.75           115.48
16.17           93.81           112.00
16.23           93.86           108.37
16.30           93.92           104.60
16.37           93.97           100.66
16.43           94.03           96.56
16.50           94.08           92.29
16.57           94.14           87.83
16.64           94.19           83.19
16.70           94.25           78.37
16.77           94.32           73.34
16.84           94.38           68.11
16.91           94.45           62.68
16.98           94.53           57.04
17.05           94.62           51.18
17.12           94.72           45.10
17.19           94.82           38.79
17.26           94.94           32.26
17.33           95.07           25.51
17.40           95.20           18.53
17.48           95.35           11.36
17.55           95.50           3.98
17.62           95.66           -3.57
17.69           95.82           -11.27
17.77           95.97           -19.10
17.84           96.12           -27.04
17.91           96.26           -35.04
17.99           96.39           -43.08
18.06           96.49           -51.11
18.13           96.57           -59.08
18.21           96.62           -66.95
18.28           96.65           -74.66
18.36           96.63           -82.16
18.43           96.58           -89.39
18.51           96.48           -96.30
18.59           96.34           -102.83
18.66           96.15           -108.93
18.74           95.91           -114.56
18.82           95.62           -119.68
18.89           95.28           -124.26
18.97           94.89           -128.29
19.05           94.44           -131.74
19.13           93.93           -134.60
19.21           93.35           -136.89
19.29           92.71           -138.61
19.37           92.00           -139.78
19.44           91.21           -140.43
19.52           90.36           -140.58
19.61           89.42           -140.30
19.69           88.42           -139.62
19.77           87.36           -138.62
19.85           86.25           -137.36
19.93           85.11           -135.90
20.01           83.93           -134.31
20.09           82.76           -132.65
20.18           81.59           -130.98
20.26           80.45           -129.35
20.34           79.37           -127.81
20.43           78.36           -126.39
20.51           77.46           -125.12
20.59           76.68           -124.04
20.68           76.04           -123.16
20.76           75.54           -122.49
20.85           75.20           -122.04
20.94           75.00           -121.82
21.02           74.91           -121.81
21.11           74.92           -122.00
21.20           75.00           -122.35
21.28           75.12           -122.86
21.37           75.27           -123.48
21.46           75.42           -124.18
21.55           75.57           -124.93
21.63           75.69           -125.70
21.72           75.79           -126.46
21.81           75.86           -127.19
21.90           75.91           -127.85
21.99           75.92           -128.42
22.08           75.90           -128.88
22.17           75.84           -129.21
22.27           75.75           -129.37
22.36           75.63           -129.35
22.45           75.47           -129.13
22.54           75.29           -128.69
22.63           75.08           -128.00
22.73           74.85           -127.07
22.82           74.62           -125.86
22.91           74.41           -124.36
23.01           74.22           -122.57
23.10           74.08           -120.48
23.20           73.99           -118.09
23.29           73.97           -115.40
23.39           74.03           -112.41
23.49           74.15           -109.14
