Freq[Hz]        [dBSPL]         Phase[Deg]
10.00           110.97          122.88
10.04           110.93          122.92
10.08           110.89          123.11
10.12           110.84          123.44
10.17           110.79          123.90
10.21           110.74          124.50
10.25           110.68          125.22
10.29           110.61          126.07
10.33           110.51          127.07
10.38           110.39          128.44
10.42           110.26          130.17
10.46           110.11          132.24
10.50           109.96          134.65
10.55           109.79          137.36
10.59           109.61          140.37
10.64           109.42          143.64
10.68           109.22          147.13
10.72           109.02          150.84
10.77           108.81          154.71
10.81           108.59          158.72
10.86           108.37          162.85
10.90           108.15          167.05
10.95           107.92          171.29
10.99           107.69          175.54
11.04           107.47          179.77
11.08           107.25          -176.07
11.13           107.03          -172.00
11.17           106.82          -168.07
11.22           106.61          -164.32
11.26           106.42          -160.79
11.31           106.24          -157.50
11.36           106.07          -154.52
11.40           105.91          -151.88
11.45           105.77          -149.62
11.50           105.66          -147.77
11.55           105.56          -146.38
11.59           105.48          -145.45
11.64           105.43          -145.03
11.69           105.41          -145.12
11.74           105.40          -145.72
11.78           105.42          -146.85
11.83           105.47          -148.50
11.88           105.54          -150.66
11.93           105.62          -153.32
11.98           105.73          -156.46
12.03           105.86          -160.05
12.08           105.99          -164.05
12.13           106.14          -168.42
12.18           106.30          -173.12
12.23           106.47          -178.10
12.28           106.63          176.68
12.33           106.80          171.29
12.38           106.97          165.77
12.43           107.12          160.17
12.48           107.27          154.54
12.53           107.41          148.95
12.58           107.54          143.45
12.64           107.64          138.10
12.69           107.73          132.95
12.74           107.80          128.06
12.79           107.84          123.51
12.85           107.86          119.35
12.90           107.84          115.64
12.95           107.80          112.44
13.00           107.73          109.79
13.06           107.62          107.73
13.11           107.48          106.29
13.17           107.30          105.50
13.22           107.09          105.38
13.27           106.85          105.92
13.33           106.57          107.15
13.38           106.25          109.04
13.44           105.89          111.58
13.49           105.50          114.75
13.55           105.07          118.52
13.61           104.60          122.84
13.66           104.10          127.66
13.72           103.57          132.93
13.77           103.01          138.58
13.83           102.42          144.57
13.89           101.81          150.83
13.94           101.18          157.30
14.00           100.53          163.92
14.06           99.87           170.61
14.12           99.20           177.33
14.18           98.52           -176.01
14.23           97.85           -169.47
14.29           97.18           -163.12
14.35           96.52           -157.02
14.41           95.88           -151.24
14.47           95.26           -145.82
14.53           94.67           -140.80
14.59           94.11           -136.22
14.65           93.58           -132.09
14.71           93.10           -128.44
14.77           92.67           -125.27
14.83           92.29           -122.59
14.89           91.96           -120.38
14.95           91.68           -118.62
15.01           91.45           -117.29
15.08           91.27           -116.34
15.14           91.15           -115.73
15.20           91.06           -115.40
15.26           91.02           -115.28
15.33           91.02           -115.32
15.39           91.06           -115.46
15.45           91.12           -115.62
15.52           91.22           -115.74
15.58           91.33           -115.75
15.64           91.47           -115.58
15.71           91.63           -115.16
15.77           91.81           -114.42
15.84           91.99           -113.32
15.90           92.18           -111.79
15.97           92.39           -109.82
16.03           92.59           -107.37
16.10           92.80           -104.43
16.17           93.01           -101.00
16.23           93.22           -97.09
16.30           93.42           -92.71
16.37           93.63           -87.90
16.43           93.83           -82.70
16.50           94.02           -77.17
16.57           94.20           -71.38
16.64           94.38           -65.41
16.70           94.55           -59.35
16.77           94.71           -53.31
16.84           94.86           -47.39
16.91           95.00           -41.69
16.98           95.12           -36.32
17.05           95.24           -31.40
17.12           95.34           -27.03
17.19           95.43           -23.33
17.26           95.50           -20.38
17.33           95.56           -18.26
17.40           95.60           -17.04
17.48           95.62           -16.76
17.55           95.63           -17.46
17.62           95.62           -19.14
17.69           95.59           -21.82
17.77           95.54           -25.47
17.84           95.47           -30.05
17.91           95.39           -35.52
