Freq[Hz]        [dBSPL]         Phase[Deg]
10.00           107.53          -123.26
10.04           107.50          -124.16
10.08           107.47          -125.13
10.12           107.44          -126.17
10.17           107.41          -127.27
10.21           107.37          -128.42
10.25           107.34          -129.64
10.29           107.30          -130.91
10.33           107.23          -133.13
10.38           107.16          -135.52
10.42           107.08          -138.06
10.46           106.99          -140.76
10.50           106.89          -143.60
10.55           106.79          -146.58
10.59           106.69          -149.67
10.64           106.57          -152.86
10.68           106.46          -156.13
10.72           106.33          -159.47
10.77           106.21          -162.85
10.81           106.07          -166.27
10.86           105.94          -169.69
10.90           105.80          -173.11
10.95           105.65          -176.50
10.99           105.50          -179.83
11.04           105.35          176.90
11.08           105.20          173.72
11.13           105.05          170.66
11.17           104.89          167.74
11.22           104.73          164.97
11.26           104.58          162.39
11.31           104.42          160.01
11.36           104.26          157.86
11.40           104.10          155.97
11.45           103.95          154.36
11.50           103.79          153.05
11.55           103.64          152.07
11.59           103.50          151.43
11.64           103.35          151.16
11.69           103.21          151.25
11.74           103.07          151.73
11.78           102.94          152.61
11.83           102.81          153.88
11.88           102.69          155.57
11.93           102.58          157.66
11.98           102.47          160.16
12.03           102.36          163.07
12.08           102.27          166.37
12.13           102.18          170.07
12.18           102.10          174.15
12.23           102.03          178.59
12.28           101.97          -176.60
12.33           101.91          -171.45
12.38           101.87          -165.97
12.43           101.83          -160.17
12.48           101.81          -154.05
12.53           101.79          -147.64
12.58           101.79          -140.95
12.64           101.80          -133.99
12.69           101.82          -126.77
12.74           101.85          -119.32
12.79           101.89          -111.64
12.85           101.95          -103.75
12.90           102.02          -95.67
12.95           102.10          -87.42
13.00           102.19          -79.01
13.06           102.30          -70.46
13.11           102.42          -61.80
13.17           102.55          -53.05
13.22           102.69          -44.23
13.27           102.84          -35.37
13.33           103.00          -26.50
13.38           103.15          -17.64
13.44           103.31          -8.82
13.49           103.47          -0.08
13.55           103.62          8.56
13.61           103.77          17.05
13.66           103.90          25.36
13.72           104.03          33.46
13.77           104.13          41.30
13.83           104.22          48.85
13.89           104.29          56.07
13.94           104.34          62.91
14.00           104.35          69.34
14.06           104.34          75.31
14.12           104.30          80.78
14.18           104.23          85.70
14.23           104.12          90.03
14.29           103.97          93.72
14.35           103.79          96.74
14.41           103.56          99.04
14.47           103.30          100.62
14.53           102.98          101.44
14.59           102.63          101.52
14.65           102.23          100.83
14.71           101.78          99.40
14.77           101.29          97.25
14.83           100.75          94.40
14.89           100.15          90.89
14.95           99.51           86.77
15.01           98.81           82.09
15.08           98.06           76.92
15.14           97.27           71.34
