Freq[Hz]        [dBSPL]         Phase[Deg]
10.00           106.36          -150.90
10.04           106.47          -149.99
10.08           106.57          -149.16
10.12           106.67          -148.43
10.17           106.76          -147.77
10.21           106.84          -147.19
10.25           106.92          -146.68
10.29           106.99          -146.25
10.33           107.15          -144.97
10.38           107.29          -143.92
10.42           107.42          -143.07
10.46           107.53          -142.42
10.50           107.63          -141.96
10.55           107.71          -141.69
10.59           107.78          -141.58
10.64           107.84          -141.62
10.68           107.89          -141.79
10.72           107.92          -142.06
10.77           107.94          -142.43
10.81           107.95          -142.87
10.86           107.96          -143.36
10.90           107.95          -143.88
10.95           107.93          -144.41
10.99           107.91          -144.93
11.04           107.88          -145.41
11.08           107.84          -145.83
11.13           107.80          -146.16
11.17           107.75          -146.39
11.22           107.70          -146.49
11.26           107.65          -146.43
11.31           107.59          -146.19
11.36           107.53          -145.74
11.40           107.47          -145.05
11.45           107.41          -144.09
11.50           107.35          -142.85
11.55           107.30          -141.31
11.59           107.25          -139.44
11.64           107.20          -137.25
11.69           107.15          -134.71
11.74           107.11          -131.84
11.78           107.08          -128.62
11.83           107.04          -125.07
11.88           107.02          -121.19
11.93           106.99          -117.00
11.98           106.97          -112.52
12.03           106.95          -107.78
12.08           106.93          -102.79
12.13           106.92          -97.60
12.18           106.90          -92.24
12.23           106.89          -86.74
12.28           106.87          -81.16
12.33           106.85          -75.53
12.38           106.82          -69.89
12.43           106.79          -64.28
12.48           106.75          -58.75
12.53           106.70          -53.34
12.58           106.65          -48.10
12.64           106.59          -43.07
12.69           106.51          -38.30
12.74           106.43          -33.84
12.79           106.33          -29.73
12.85           106.21          -26.04
12.90           106.08          -22.81
12.95           105.94          -20.08
13.00           105.78          -17.89
13.06           105.60          -16.26
13.11           105.40          -15.23
13.17           105.18          -14.81
13.22           104.95          -15.02
13.27           104.70          -15.85
13.33           104.42          -17.32
13.38           104.13          -19.41
13.44           103.82          -22.12
13.49           103.50          -25.41
13.55           103.15          -29.26
13.61           102.79          -33.64
13.66           102.41          -38.50
13.72           102.02          -43.79
13.77           101.62          -49.47
13.83           101.20          -55.49
13.89           100.78          -61.79
13.94           100.35          -68.33
14.00           99.92           -75.05
14.06           99.49           -81.90
14.12           99.05           -88.82
14.18           98.62           -95.75
14.23           98.19           -102.64
14.29           97.77           -109.43
14.35           97.36           -116.05
14.41           96.96           -122.47
14.47           96.57           -128.64
14.53           96.21           -134.53
14.59           95.86           -140.10
14.65           95.54           -145.33
14.71           95.24           -150.20
14.77           94.97           -154.72
14.83           94.72           -158.86
14.89           94.50           -162.65
14.95           94.31           -166.08
15.01           94.15           -169.19
15.08           94.01           -172.00
15.14           93.91           -174.54
15.20           93.83           -176.86
15.26           93.77           -179.01
15.33           93.74           178.98
15.39           93.73           177.05
15.45           93.75           175.15
15.52           93.78           173.23
15.58           93.84           171.25
15.64           93.91           169.14
15.71           94.00           166.86
15.77           94.10           164.36
15.84           94.22           161.58
15.90           94.35           158.50
15.97           94.49           155.08
16.03           94.64           151.28
16.10           94.79           147.09
16.17           94.96           142.49
16.23           95.12           137.46
16.30           95.29           132.01
16.37           95.46           126.14
16.43           95.62           119.85
16.50           95.78           113.16
16.57           95.94           106.09
16.64           96.08           98.67
16.70           96.22           90.94
16.77           96.34           82.94
16.84           96.45           74.70
16.91           96.54           66.27
16.98           96.61           57.69
17.05           96.66           49.00
17.12           96.69           40.24
17.19           96.70           31.46
17.26           96.67           22.70
17.33           96.63           13.98
17.40           96.55           5.35
17.48           96.45           -3.18
17.55           96.31           -11.58
17.62           96.15           -19.84
17.69           95.96           -27.94
17.77           95.74           -35.88
17.84           95.49           -43.66
17.91           95.21           -51.27
17.99           94.91           -58.73
18.06           94.57           -66.05
18.13           94.21           -73.25
18.21           93.83           -80.35
18.28           93.43           -87.38
18.36           93.01           -94.36
18.43           92.58           -101.33
18.51           92.13           -108.31
18.59           91.69           -115.34
18.66           91.24           -122.44
18.74           90.79           -129.63
18.82           90.35           -136.93
18.89           89.92           -144.37
18.97           89.50           -151.97
19.05           89.11           -159.74
19.13           88.73           -167.68
19.21           88.38           -175.81
19.29           88.05           175.86
19.37           87.75           167.33
19.44           87.48           158.61
19.52           87.23           149.69
19.61           87.01           140.58
19.69           86.81           131.29
19.77           86.63           121.84
19.85           86.47           112.23
19.93           86.32           102.47
20.01           86.18           92.59
20.09           86.05           82.60
20.18           85.93           72.52
20.26           85.81           62.36
20.34           85.70           52.17
20.43           85.58           41.96
20.51           85.47           31.77
20.59           85.35           21.64
20.68           85.23           11.60
20.76           85.11           1.71
20.85           84.98           -8.00
20.94           84.85           -17.47
21.02           84.72           -26.64
21.11           84.59           -35.46
21.20           84.46           -43.86
21.28           84.33           -51.78
21.37           84.20           -59.14
21.46           84.07           -65.89
21.55           83.95           -71.95
21.63           83.83           -77.29
21.72           83.73           -81.86
21.81           83.63           -85.64
21.90           83.54           -88.61
21.99           83.46           -90.77
22.08           83.38           -92.13
22.17           83.32           -92.70
22.27           83.26           -92.51
22.36           83.20           -91.61
22.45           83.16           -90.06
22.54           83.11           -87.93
22.63           83.06           -85.29
22.73           83.01           -82.25
22.82           82.96           -78.90
22.91           82.89           -75.37
23.01           82.82           -71.73
23.10           82.73           -68.10
23.20           82.63           -64.53
23.29           82.50           -61.12
23.39           82.36           -57.92
23.49           82.18           -54.99
23.58           81.98           -52.38
23.68           81.75           -50.12
23.78           81.49           -48.26
23.87           81.19           -46.79
23.97           80.85           -45.74
24.07           80.47           -45.10
24.17           80.04           -44.86
24.27           79.57           -45.00
24.37           79.05           -45.49
24.47           78.47           -46.30
24.57           77.84           -47.39
24.67           77.15           -48.73
24.77           76.40           -50.27
24.88           75.58           -51.97
24.98           74.68           -53.79
25.08           73.72           -55.67
25.18           72.67           -57.57
25.29           71.54           -59.43
25.39           70.33           -61.19
25.50           69.05           -62.78
25.60           67.70           -64.14
25.71           66.31           -65.21
25.81           64.92           -65.92
25.92           63.61           -66.21
26.02           62.48           -66.04
26.13           61.66           -65.39
26.24           61.29           -64.22
26.35           61.46           -62.53
26.45           62.15           -60.32
26.56           63.23           -57.61
26.67           64.54           -54.41
26.78           65.94           -50.76
26.89           67.31           -46.71
27.00           68.58           -42.33
27.11           69.69           -37.70
27.23           70.62           -32.88
27.34           71.38           -27.97
27.45           71.99           -23.05
27.56           72.45           -18.17
27.68           72.81           -13.40
27.79           73.07           -8.78
27.90           73.25           -4.34
28.02           73.37           -0.11
28.14           73.43           3.90
28.25           73.43           7.69
28.37           73.36           11.27
28.48           73.20           14.67
28.60           72.96           17.92
28.72           72.61           21.06
28.84           72.16           24.17
28.96           71.61           27.30
29.07           71.00           30.53
29.19           70.36           33.93
29.31           69.73           37.56
29.43           69.16           41.50
29.56           68.68           45.83
29.68           68.33           50.61
29.80           68.11           55.92
29.92           68.00           61.85
30.04           67.98           68.46
30.17           68.02           75.80
30.29           68.10           83.90
30.42           68.17           92.75
30.54           68.24           102.33
30.67           68.30           112.58
30.79           68.32           123.42
30.92           68.31           134.75
31.05           68.27           146.42
31.18           68.19           158.27
31.30           68.07           170.11
31.43           67.91           -178.30
31.56           67.69           -167.15
31.69           67.43           -156.68
31.82           67.12           -147.06
31.95           66.77           -138.49
32.08           66.38           -131.11
32.22           65.96           -125.02
32.35           65.51           -120.28
32.48           65.03           -116.94
32.62           64.54           -114.97
32.75           64.05           -114.32
32.88           63.55           -114.89
33.02           63.05           -116.57
33.16           62.57           -119.18
33.29           62.10           -122.56
33.43           61.65           -126.48
33.57           61.24           -130.75
33.70           60.87           -135.16
33.84           60.54           -139.53
33.98           60.28           -143.68
34.12           60.09           -147.45
34.26           60.00           -150.69
34.40           60.02           -153.26
34.54           60.17           -155.09
34.69           60.45           -156.13
34.83           60.86           -156.38
34.97           61.40           -155.87
35.12           62.02           -154.66
35.26           62.69           -152.84
35.41           63.37           -150.52
35.55           64.03           -147.86
35.70           64.64           -145.02
35.84           65.17           -142.18
35.99           65.62           -139.49
36.14           66.00           -137.11
36.29           66.30           -135.15
36.44           66.54           -133.73
36.59           66.73           -132.95
36.74           66.86           -132.82
36.89           66.95           -133.36
37.04           66.99           -134.52
37.19           67.00           -136.22
37.35           66.95           -138.37
37.50           66.87           -140.89
37.65           66.75           -143.67
37.81           66.59           -146.63
37.97           66.41           -149.67
38.12           66.23           -152.71
38.28           66.05           -155.71
38.44           65.89           -158.70
38.59           65.74           -161.71
38.75           65.61           -164.78
38.91           65.49           -167.96
39.07           65.37           -171.29
39.23           65.26           -174.81
39.39           65.14           -178.55
39.56           65.02           177.47
39.72           64.89           173.27
39.88           64.76           168.92
40.05           64.63           164.53
40.21           64.51           160.20
40.38           64.43           156.01
40.54           64.39           152.08
40.71           64.43           148.48
40.88           64.55           145.29
41.04           64.77           142.58
41.21           65.07           140.38
41.38           65.41           138.66
41.55           65.77           137.35
41.72           66.10           136.40
41.90           66.41           135.74
42.07           66.68           135.29
42.24           66.93           134.95
42.42           67.14           134.63
42.59           67.33           134.24
42.76           67.51           133.72
42.94           67.68           133.05
43.12           67.85           132.22
43.29           68.03           131.24
43.47           68.21           130.10
43.65           68.41           128.82
43.83           68.63           127.45
44.01           68.86           126.02
44.19           69.11           124.55
44.37           69.35           123.05
44.56           69.58           121.52
44.74           69.80           119.95
44.92           69.99           118.34
45.11           70.16           116.68
45.29           70.31           114.97
45.48           70.44           113.19
45.67           70.55           111.35
45.86           70.64           109.46
46.04           70.72           107.53
46.23           70.77           105.60
46.42           70.80           103.68
46.61           70.81           101.81
46.81           70.81           100.01
47.00           70.78           98.33
47.19           70.76           96.79
47.39           70.74           95.42
47.58           70.72           94.21
47.78           70.71           93.17
47.97           70.71           92.27
48.17           70.73           91.48
48.37           70.75           90.73
48.57           70.77           89.98
48.77           70.80           89.15
48.97           70.82           88.19
49.17           70.85           87.05
49.37           70.88           85.72
49.58           70.91           84.16
49.78           70.95           82.37
49.98           70.99           80.36
50.19           71.05           78.15
50.40           71.13           75.78
50.60           71.23           73.29
50.81           71.35           70.73
51.02           71.49           68.16
51.23           71.64           65.65
51.44           71.80           63.28
51.65           71.97           61.10
51.86           72.13           59.15
52.08           72.29           57.45
52.29           72.44           55.99
52.51           72.59           54.74
52.72           72.73           53.67
52.94           72.86           52.71
53.16           72.98           51.84
53.38           73.09           51.00
53.60           73.18           50.19
53.82           73.27           49.39
54.04           73.35           48.57
54.26           73.43           47.75
54.48           73.49           46.89
54.71           73.54           45.96
54.93           73.58           44.91
55.16           73.61           43.71
55.39           73.62           42.34
55.61           73.61           40.78
55.84           73.58           39.03
56.07           73.52           37.12
56.30           73.44           35.10
56.53           73.35           33.00
56.77           73.26           30.85
57.00           73.17           28.67
57.23           73.10           26.45
57.47           73.08           24.20
57.71           73.11           21.90
57.94           73.20           19.55
58.18           73.36           17.17
58.42           73.56           14.82
58.66           73.78           12.55
58.90           74.01           10.41
59.15           74.23           8.47
